gene	ensembl_id
A1BG	121410
A1BG-AS1	268895
A1CF	148584
A2M	175899
A2ML1	166535
A2MP1	256069
A4GALT	128274
A4GNT	118017
AA06	265544
AAAS	94914
AACS	81760
AACSP1	250420
AADAC	114771
AADACL3	188984
AADACL4	204518
AADAT	109576
AAGAB	103591
AAK1	115977
AAMP	127837
AANAT	129673
AARS	90861
AARS2	124608
AARSD1	266967
AASDH	157426
AASDHPPT	149313
AASS	8311
AATK	181409
AATK-AS1	225180
ABAT	183044
ABCA1	165029
ABCA10	154263
ABCA11P	251595
ABCA12	144452
ABCA13	179869
ABCA17P	238098
ABCA2	107331
ABCA3	167972
ABCA4	198691
ABCA5	154265
ABCA6	154262
ABCA7	64687
ABCA8	141338
ABCA9	154258
ABCB1	85563
ABCB10	135776
ABCB4	5471
ABCB5	4846
ABCB6	115657
ABCB7	131269
ABCB8	197150
ABCB9	150967
ABCC10	124574
ABCC11	121270
ABCC12	140798
ABCC13	243064
ABCC2	23839
ABCC3	108846
ABCC4	125257
ABCC5	114770
ABCC6P1	256340
ABCC8	6071
ABCC9	69431
ABCD1	101986
ABCD2	173208
ABCD3	117528
ABCD4	119688
ABCE1	164163
ABCF2	33050
ABCF3	161204
ABCG1	160179
ABCG2	118777
ABCG4	172350
ABCG5	138075
ABCG8	143921
ABHD1	143994
ABHD10	144827
ABHD11	106077
ABHD11-AS1	225969
ABHD12	100997
ABHD12B	131969
ABHD13	139826
ABHD14A	248487
ABHD14A-ACY1	114786
ABHD14B	114779
ABHD15	168792
ABHD16B	183260
ABHD2	140526
ABHD3	158201
ABHD4	100439
ABHD5	11198
ABHD6	163686
ABHD8	127220
ABI1	136754
ABI2	138443
ABI3	108798
ABI3BP	154175
ABL1	97007
ABL2	143322
ABLIM1	99204
ABLIM2	163995
ABLIM3	173210
ABRA	174429
ABT1	146109
ABTB1	114626
ABTB2	166016
ACAA1	60971
ACAA2	167315
ACACB	76555
ACAD10	111271
ACAD11	240303
ACAD8	151498
ACAD9	177646
ACADL	115361
ACADM	117054
ACADS	122971
ACADSB	196177
ACADVL	72778
ACAN	157766
ACAP1	72818
ACAP2	114331
ACAP3	131584
ACAT1	75239
ACAT2	120437
ACBD3	182827
ACBD4	181513
ACBD5	107897
ACBD6	230124
ACBD7	176244
ACCS	110455
