identifier	minutes	group
c_K08K-CF6QYU	1075.4	03-controls_151bp_X10
t_H043-W99H5K	1059.81666666667	04-tumors_151bp_X10
t_H043-CQM6QY	1058.71666666667	04-tumors_151bp_X10
t_H043-2JY3	1050.25	04-tumors_151bp_X10
c_C0089	1027.6	01-controls_101bp
t_H043-6FRXV9	1022.61666666667	04-tumors_151bp_X10
t_H043-ZK2PKS	1011.8	04-tumors_151bp_X10
t_XI003_14527	1008.11666666667	04-tumors_151bp_X10
t_H043-B7R7	1005.58333333333	04-tumors_151bp_X10
t_H043-X33N8G	993.533333333333	04-tumors_151bp_X10
t_H043-WJ851A	975.35	04-tumors_151bp_X10
t_H043-QHGXQQ	970.833333333333	04-tumors_151bp_X10
t_H043-BU96	954.516666666667	04-tumors_151bp_X10
t_H043-PLM1	928.783333333333	04-tumors_151bp_X10
t_H043-CWJQEW	928.216666666667	04-tumors_151bp_X10
t_H043-PYL6FY	926.05	04-tumors_151bp_X10
t_H043-KE3H42	916.083333333333	04-tumors_151bp_X10
t_H043-NAFCCV	913.416666666667	04-tumors_151bp_X10
t_C0089	900.55	02-tumors_101bp
b_H021-TCPMY4	898.616666666667	03-controls_151bp_X10
t_HX25	885.15	02-tumors_101bp
t_H043-3P8XJY	871.65	04-tumors_151bp_X10
t_MELA-0226	871.266666666667	02-tumors_101bp
t_H043-F14UH1	868.7	04-tumors_151bp_X10
t_H043-28GK	868.55	04-tumors_151bp_X10
t_H043-5FM91P	866.966666666667	04-tumors_151bp_X10
t_H043-URZNJE	861.216666666667	04-tumors_151bp_X10
c_MELA-0226	858.1	01-controls_101bp
t_H043-XACH	850.75	04-tumors_151bp_X10
t_H043-ZMHY	847.366666666667	04-tumors_151bp_X10
t_H043-5VWP	842.8	04-tumors_151bp_X10
t_H043-FEJ7C8	841.133333333333	04-tumors_151bp_X10
t_H043-D9MRCY	840	04-tumors_151bp_X10
t_H043-DSX2	834.733333333333	04-tumors_151bp_X10
t_H043-GESMJV	833.95	04-tumors_151bp_X10
t_H043-KZWS	833.333333333333	04-tumors_151bp_X10
t_XI061_15EP7	833.116666666667	04-tumors_151bp_X10
t_H043-LQDGD4	823.25	04-tumors_151bp_X10
t_H043-N7LCPV	822.6	04-tumors_151bp_X10
t_H043-63R6	815.75	04-tumors_151bp_X10
t_H043-PWC258	813.483333333333	04-tumors_151bp_X10
t_XI061_15EP1	812.616666666667	04-tumors_151bp_X10
t_H043-XG4KY2	808.6	04-tumors_151bp_X10
t_H043-U65X	808.316666666667	04-tumors_151bp_X10
t_H043-U65X	808.316666666667	04-tumors_151bp_X10
t_H043-GG5L52	808.016666666667	04-tumors_151bp_X10
t_H043-6F91	803.05	04-tumors_151bp_X10
t_ICGC_MB147	801.883333333333	02-tumors_101bp
t_PCSI_0023	796.216666666667	02-tumors_101bp
t_H043-4PGF	775.466666666667	04-tumors_151bp_X10
t_PCSI_0101	773.283333333333	02-tumors_101bp
t_B087wgs_22801	772.6	02-tumors_101bp
c_CGP_donor_1374616	765.783333333333	01-controls_101bp
t_H043-ULLV	765.316666666667	04-tumors_151bp_X10
t_H043-GKS176	761.783333333333	04-tumors_151bp_X10
t_CPCG0046	749.55	02-tumors_101bp
c_C0001	743.733333333333	01-controls_101bp
t_PCSI_0109	742.216666666667	02-tumors_101bp
t_PCSI_0356	731.983333333333	02-tumors_101bp
c_HX28	729.733333333333	01-controls_101bp
c_H067-2S3GBR	717.866666666667	03-controls_151bp_X10
t_ICGC_0067	709.6	02-tumors_101bp
t_B087wgs_24632	708.683333333333	02-tumors_101bp
t_XI061_15EP2	707.05	04-tumors_151bp_X10
t_ICGC_0088	706.316666666667	02-tumors_101bp
c_C0097	683.45	01-controls_101bp
t_B087koeln_24632	682.833333333333	02-tumors_101bp
t_H067-VXYWG8	673.883333333333	04-tumors_151bp_X10
t_B087wgs_19771	666.583333333333	02-tumors_101bp
t_PCSI_0106	666.583333333333	02-tumors_101bp
t_ITNET-0148	663.433333333333	02-tumors_101bp
t_B087wgs_24478	654.9	02-tumors_101bp
t_XI003_21014	654.583333333333	04-tumors_151bp_X10
c_C0098	649.85	01-controls_101bp
t_B087koeln_24478	644.583333333333	02-tumors_101bp
t_CPCG0361	639.35	02-tumors_101bp
t_PCSI_0098	638.933333333333	02-tumors_101bp
t_XI003_20855	638.266666666667	04-tumors_151bp_X10
c_H021-MBK1QX	637.766666666667	03-controls_151bp_X10
c_H021-MBK1QX	637.766666666667	03-controls_151bp_X10
c_PCSI_0218	636.933333333333	01-controls_101bp
t_MELA-0236	636.85	02-tumors_101bp
t_XI003_14359	633.483333333333	04-tumors_151bp_X10
t_TCGA-85-8052	626.766666666667	02-tumors_101bp
b_DKFZ-Mrad_17	626.25	03-controls_151bp_X10
t_TCGA-60-2726	621.916666666667	02-tumors_101bp
t_0094_CRUK_PC_0094	619.016666666667	02-tumors_101bp
t_TCGA-DJ-A2Q1	616.55	02-tumors_101bp
t_0093_CRUK_PC_0093	616.133333333333	02-tumors_101bp
t_PCSI_0112	616.116666666667	02-tumors_101bp
t_XI049_7EP48	608.616666666667	04-tumors_151bp_X10
t_HX28	607.65	02-tumors_101bp
t_PCSI_0086	605.883333333333	02-tumors_101bp
c_K08K-SJJQ37	605.833333333333	03-controls_151bp_X10
c_K08K-1KAD5P	603.516666666667	03-controls_151bp_X10
c_K08K-MPT52W	599.416666666667	03-controls_151bp_X10
t_MELA-0234	599.033333333333	02-tumors_101bp
t_TCGA-21-1083	596.416666666667	02-tumors_101bp
t_ICGC_0087	595.466666666667	02-tumors_101bp
t_ICGC_0365	594.233333333333	02-tumors_101bp
b_H021-A5F2C6	593.833333333333	03-controls_151bp_X10
c_HX25	592.133333333333	01-controls_101bp
c_SNU_WGS_02	591.7	01-controls_101bp
t_ICGC_0395	591.133333333333	02-tumors_101bp
c_C0091	590.933333333333	01-controls_101bp
t_TCGA-22-1016	590.816666666667	02-tumors_101bp
c_C0100	589.383333333333	01-controls_101bp
t_MELA-0223	587.516666666667	02-tumors_101bp
t_PCSI_0118	587.233333333333	02-tumors_101bp
t_0084_CRUK_PC_0084	586.833333333333	02-tumors_101bp
t_OCCAMS-RS-014	585.683333333333	02-tumors_101bp
t_TCGA-EL-A4K6	582.966666666667	02-tumors_101bp
t_MELA-0230	582.7	02-tumors_101bp
c_TCGA-06-0145	581.7	01-controls_101bp
t_ICGC_0406	581.033333333333	02-tumors_101bp
c_TCGA-AB-2982	579.833333333333	01-controls_101bp
t_CPCG0001	575.85	02-tumors_101bp
c_H067-6K8YTY	575.716666666667	03-controls_151bp_X10
t_XI003_21129	575.7	04-tumors_151bp_X10
t_TCGA-EM-A2CU	575.466666666667	02-tumors_101bp
t_XI003_17777	574.733333333333	04-tumors_151bp_X10
t_ICGC_0420	574.383333333333	02-tumors_101bp
t_ICGC_0354	573.466666666667	02-tumors_101bp
t_ICGC_0393	573.2	02-tumors_101bp
t_CPCG0364	572.566666666667	02-tumors_101bp
t_XI003_22951	572.3	04-tumors_151bp_X10
t_ITNET-0134	570.266666666667	02-tumors_101bp
b_H021-RG2E96	570.266666666667	03-controls_151bp_X10
c_H032-P002	567.933333333333	01-controls_101bp
t_TCGA-F1-6875	567.383333333333	02-tumors_101bp
t_MELA-0052	565.983333333333	02-tumors_101bp
t_XI003_21954	565.266666666667	04-tumors_151bp_X10
