jobName	analysisMode	elapsedTime	maxMem	avgMem	technology	group
LIRI-JP_RK040_tumor-control	paired	133.1	13	0.6640625	101bp	paired_101bp
MASTER-DKFZ_H021-EGPXE1_tumor02-buffy_coat	paired	82.8216666666667	2.8	0.1171875	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-Q58A87_tumor02-buffy_coat	paired	80.25	6	0.478515625	151bp_X10	paired_151bp_X10
MB-DKFZ_ICGC_MB142_tumor-control	paired	65.185	5.4	0.3896484375	101bp	paired_101bp
MASTER-DKFZ_H021-2EHFSJ_metastasis02-buffy_coat	paired	58.7266666666667	2.9	0.1259765625	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-T5RLPB_metastasis-blood	paired	38.4266666666667	2.5	0.1572265625	151bp_X10	paired_151bp_X10
COAD-DKFZ_H032-VN5N_tumor-control	paired	36.71	2.6	0.125	101bp	paired_101bp
COAD-DKFZ_H032-VN5N_metastasis-control	paired	33.5283333333333	2.7	0.11328125	101bp	paired_101bp
NB-PMC_B087_PMC_895_relapse01-blood01	paired	25.5133333333333	7.3	0.8798828125	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_24632_tumor-control	paired	24.0033333333333	25.4	20.1	101bp	paired_101bp
EPN-DKFZ_XI061_16EP7_tumor-blood	paired	23.3866666666667	34.9	23.1	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A1L0_tumor-control	paired	22.1083333333333	2	0.1787109375	101bp	paired_101bp
MASTER-DKFZ_H021-5PS3DS_metastasis-buffy_coat	paired	21.9733333333333	2.6	0.2197265625	151bp_X10	paired_151bp_X10
PEDBRAIN_FAMILIES-DKFZ_XI046_HD_93584_tumor-blood	paired	21.5916666666667	19.9	6.5	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_3664_tumor-control	paired	21.2466666666667	20.7	15.8	101bp	paired_101bp
SARC-US_TCGA-FX-A2QS_tumor-control	paired	20.795	2.2	0.193359375	101bp	paired_101bp
NB-DKFZ_B087wgs_22496_tumor-control	paired	18.2783333333333	18.2	14.2	101bp	paired_101bp
LAML-US_TCGA-AB-2982_tumor-control	paired	16.8483333333333	21.4	14.1	101bp	paired_101bp
MASTER-DKFZ_H021-3GTR71_tumor02-buffy_coat	paired	15.5016666666667	2.5	0.203125	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-3W6BBQ_tumor-buffy_coat03	paired	15.13	2.6	0.26953125	151bp_X10	paired_151bp_X10
PEDBRAIN_FAMILIES-DKFZ_XI046_HD_93588_tumor-blood	paired	14.8666666666667	26.3	17.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-2NNFEM_tumor-buffy_coat	paired	14.5533333333333	2.6	0.3642578125	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_24478_tumor-control	paired	14.0766666666667	32.8	25.1	101bp	paired_101bp
NB-DKFZ_XI003_18757_tumor-control	paired	13.9666666666667	2.5	0.3056640625	151bp_X10	paired_151bp_X10
MB-DKFZ_ICGC_MB305_tumor-control	paired	13.6383333333333	15.9	11.7	101bp	paired_101bp
EPN-DKFZ_XI061_15EP7_tumor-blood	paired	13.4933333333333	30.3	24.3	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-TCPMY4_tumor04-buffy_coat	paired	13.2933333333333	4.8	0.56640625	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_19771_tumor-control	paired	13.1833333333333	15.2	11.5	101bp	paired_101bp
PGBM-DKFZ_ICGC_GBM34_tumor-control	paired	13.0816666666667	9.3	7.1	101bp	paired_101bp
MYELOMA-DKFZ_K08K-VHPB5B_tumor2-control1	paired	12.8016666666667	4	0.6826171875	151bp_X10	paired_151bp_X10
EPN-DKFZ_XI061_15EP6_tumor-blood	paired	12.725	17.4	13	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-LNGXFG_tumor-buffy_coat	paired	12.5616666666667	2.5	0.2421875	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-LNGXFG_tumor02-buffy_coat	paired	12.465	2.6	0.259765625	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_22801_tumor-control	paired	11.7116666666667	17.7	13.6	101bp	paired_101bp
LINC-JP_HX15_tumor-control	paired	11.665	4.3	3.8	101bp	paired_101bp
NB-DKFZ_XI003_27025_tumor-control	paired	11.655	17.1	14	151bp_X10	paired_151bp_X10
RMM-DKFZ_H067-2S3GBR_tumor-control03	paired	11.5783333333333	15.5	11.4	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0046_tumor-control	paired	11.5	25.7	20.4	101bp	paired_101bp
NB-DKFZ_K09R-3LWJJJ_tumor1-blood1	paired	11.2766666666667	9	7.2	151bp_X10	paired_151bp_X10
LAML-KR_SNU_WGS_02_tumor-control	paired	11.1866666666667	13.6	10.2	101bp	paired_101bp
LIRI-JP_RK134_tumor-control	paired	10.8583333333333	7.9	6	101bp	paired_101bp
SARC-US_TCGA-DX-A3M1_tumor-control	paired	10.7766666666667	2	0.2626953125	101bp	paired_101bp
MB-DKFZ_MBRep_T71_tumor-control	paired	10.7716666666667	3.9	0.8662109375	101bp	paired_101bp
EPN-DKFZ_XI061_15EP1_tumor-blood	paired	10.7666666666667	29.9	22.6	151bp_X10	paired_151bp_X10
BRCA-US_TCGA-B6-A0I6_tumor-control	paired	10.7533333333333	29	18.7	101bp	paired_101bp
LUAD-US_TCGA-78-7146_tumor-control	paired	10.7516666666667	15.6	11	101bp	paired_101bp
LIRI-JP_RK021_tumor-control	paired	10.6183333333333	3.7	0.890625	101bp	paired_101bp
PRAD-UK_A10-0015_CRUK_PC_0015_3_tumor-control	paired	10.5283333333333	4.4	1.1	101bp	paired_101bp
RECA-EU_C0069_tumor-control	paired	10.2566666666667	3.1	2.5	101bp	paired_101bp
PRAD-CA_CPCG0355_tumor-control	paired	10.2033333333333	8.2	6.4	101bp	paired_101bp
PACA-CA_PCSI_0118_tumor-control	paired	10.0966666666667	6.2	3.5	101bp	paired_101bp
PRAD-CA_CPCG0099_tumor-control	paired	9.83833333333333	4.4	3.6	101bp	paired_101bp
MYELOMA-DKFZ_K08K-CF6QYU_tumor1-control1	paired	9.72	12.7	9	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-1X9R5E_metastasis-control	paired	9.67666666666667	3.6	0.986328125	151bp_X10	paired_151bp_X10
LINC-JP_HX12_tumor-control	paired	9.58666666666667	4.9	3.6	101bp	paired_101bp
MASTER-DKFZ_H021-99G9EH_tumor-buffy_coat	paired	9.585	2.7	0.4794921875	151bp_X10	paired_151bp_X10
UCEC-US_TCGA-AX-A05S_tumor-control	paired	9.57833333333334	7.6	5.2	101bp	paired_101bp
NB-DKFZ_B087wgs_24885_tumor-control	paired	9.545	9.5	6.5	101bp	paired_101bp
PACA-CA_PCSI_0218_tumor-control	paired	9.525	7.6	3.4	101bp	paired_101bp
EPN-DKFZ_XI061_15EP2_tumor-blood	paired	9.49166666666667	28.7	21.3	151bp_X10	paired_151bp_X10
SYSGLIO-DKFZ_H043-F14UH1_tumor-blood	paired	9.40666666666667	3.6	0.658203125	151bp_X10	paired_151bp_X10
MB-DKFZ_ICGC_MB148_tumor-control	paired	9.36	13	9.6	101bp	paired_101bp
MYELOMA-DKFZ_K08K-SJJQ37_tumor1-control1	paired	9.26666666666667	8.3	5.7	151bp_X10	paired_151bp_X10
LIRI-JP_RK138_tumor-control	paired	9.25833333333333	8.8	5.8	101bp	paired_101bp
MASTER-DKFZ_H021-5DXMQ3_metastasis-buffy_coat03	paired	9.17	2.7	0.4658203125	151bp_X10	paired_151bp_X10
LUAD-US_TCGA-78-7143_tumor-control	paired	9.09666666666667	17.2	11.7	101bp	paired_101bp
NB-DKFZ_B087wgs_23040_tumor-control	paired	9.01	7.9	5.1	101bp	paired_101bp
MASTER-DKFZ_H021-VFUT9F_tumor-control	paired	9.00833333333333	8.9	6.2	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A3LS_tumor-control	paired	8.77833333333333	2.1	0.3515625	101bp	paired_101bp
MYELOMA-DKFZ_K08K-UM8ZSV_tumor2-control1	paired	8.71	7.7	5.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-Y799BH_tumor-buffy_coat	paired	8.66	2.3	0.3720703125	151bp_X10	paired_151bp_X10
LINC-JP_HX16_tumor-control	paired	8.42166666666667	4	3.1	101bp	paired_101bp
LINC-JP_HX10_tumor-control	paired	8.40666666666667	3.9	2.4	101bp	paired_101bp
NB-DKFZ_B087wgs_24719_tumor-control	paired	8.38833333333333	7.9	5.2	101bp	paired_101bp
LUAD-US_TCGA-78-7156_tumor-control	paired	8.28	8.8	6.2	101bp	paired_101bp
MASTER-DKFZ_H021-4DLZBF_tumor-buffy_coat	paired	8.27	2.9	0.5166015625	151bp_X10	paired_151bp_X10
NB-DKFZ_K09R-5HRTYN_tumor1-blood1	paired	8.265	8.8	6.7	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-VD9X43_metastasis-blood	paired	7.93166666666667	2.4	0.4580078125	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_2701_tumor-control	paired	7.91	8.3	6.4	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0106_tumor-control	paired	7.905	20.9	10.1	101bp	paired_101bp
STAD-US_TCGA-D7-6527_tumor-control	paired	7.89166666666667	3.4	0.65234375	101bp	paired_101bp
RECA-EU_C0078_tumor-control	paired	7.88166666666667	2.7	1.1	101bp	paired_101bp
MASTER-DKFZ_H021-E94FYJ_tumor-control	paired	7.825	8.9	6.7	151bp_X10	paired_151bp_X10
LUAD-US_TCGA-50-5066_tumor-control	paired	7.73166666666667	10.8	6.4	101bp	paired_101bp
LINC-JP_HX14_tumor-control	paired	7.69333333333333	3.7	2.9	101bp	paired_101bp
RECA-EU_C0010_tumor-control	paired	7.65	3.3	0.7666015625	101bp	paired_101bp
RECA-EU_C0016_tumor-control	paired	7.63333333333333	3	2.4	101bp	paired_101bp
PEDBRAIN_FAMILIES-DKFZ_XI046_SF_D2245_tumor-blood	paired	7.59666666666667	8.9	5.5	151bp_X10	paired_151bp_X10
OV-AU_AOCS-120_tumor-control	paired	7.575	2	0.4365234375	101bp	paired_101bp
LIRI-JP_RK123_tumor-control	paired	7.56666666666667	5.9	4.5	101bp	paired_101bp
LIRI-JP_RK110_tumor-control	paired	7.51333333333333	5.9	4.7	101bp	paired_101bp
LINC-JP_HX13_tumor-control	paired	7.46833333333333	3.4	2.6	101bp	paired_101bp
RECA-EU_C0085_tumor-control	paired	7.46833333333333	3.3	2.7	101bp	paired_101bp
NB-DKFZ_B087wgs_5563_tumor-control	paired	7.43	7.1	4.5	101bp	paired_101bp
RECA-EU_C0018_tumor-control	paired	7.38166666666667	2.8	2.3	101bp	paired_101bp
MELA-AU_MELA-0238_tumor-control	paired	7.34	8	4.3	101bp	paired_101bp
EOPC-DKFZ_ICGC_PCA186_tumor_01-control	paired	7.33	3.5	0.6376953125	151bp_X10	paired_151bp_X10
LINC-JP_HX17_tumor-control	paired	7.26333333333333	3.9	2.9	101bp	paired_101bp
LIRI-JP_RK116_tumor-control	paired	7.25333333333333	6.1	4.8	101bp	paired_101bp
MASTER-DKFZ_H021-VQNUFH_cell-control	paired	7.17166666666667	7.5	4.5	151bp_X10	paired_151bp_X10
LAML-US_TCGA-AB-3002_tumor-control	paired	7.14666666666667	3.7	3	101bp	paired_101bp
PRAD-UK_A17-0095_CRUK_PC_0095_4_tumor-control	paired	7.07666666666667	2.5	0.7275390625	101bp	paired_101bp
RMM-DKFZ_H067-VXYWG8_tumor02-control	paired	7.05333333333333	11	7.3	151bp_X10	paired_151bp_X10
LIRI-JP_RK117_tumor-control	paired	7.03833333333333	3.9	3.1	101bp	paired_101bp
MELA-AU_MELA-0003_tumor-control	paired	6.96666666666667	2	0.2724609375	101bp	paired_101bp
EPN-DKFZ_XI049_7EP48_tumor-blood	paired	6.94333333333333	12.2	9.3	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-MBK1QX_tumor-control	paired	6.92333333333333	9.5	6.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-JSB14V_metastasis-buffy_coat03	paired	6.905	2.4	0.375	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A2J0_tumor-control	paired	6.88166666666667	2.2	0.462890625	101bp	paired_101bp
RECA-EU_C0046_tumor-control	paired	6.85	3	2.2	101bp	paired_101bp
MB-DKFZ_ICGC_MB143_tumor-control	paired	6.825	9.6	6.7	101bp	paired_101bp
LIRI-JP_RK091_tumor-control	paired	6.74833333333333	4.5	2.3	101bp	paired_101bp
LIRI-JP_RK047_tumor-control	paired	6.7	3.8	3	101bp	paired_101bp
MASTER-DKFZ_H021-DV5K7F_tumor-control	paired	6.69833333333333	6.6	4.3	151bp_X10	paired_151bp_X10
PEDBRAIN_FAMILIES-DKFZ_XI046_VN_N1449_16E_tumor-blood	paired	6.69333333333333	8.2	5.1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-V7PYRH_tumor-buffy_coat	paired	6.68833333333333	2.5	0.6015625	151bp_X10	paired_151bp_X10
RECA-EU_C0002_tumor-control	paired	6.685	3.3	0.923828125	101bp	paired_101bp
PACA-CA_PCSI_0101_tumor-control	paired	6.67666666666667	5.8	4.1	101bp	paired_101bp
LIRI-JP_RK101_tumor-control	paired	6.65	5.6	4	101bp	paired_101bp
MASTER-DKFZ_H021-YLAXVK_tumor-buffy_coat	paired	6.63666666666667	2.7	0.4765625	151bp_X10	paired_151bp_X10
EOPC-DKFZ_ICGC_PCA189_tumor_01-control	paired	6.63166666666667	3.9	0.9375	151bp_X10	paired_151bp_X10
BRCA-US_TCGA-B6-A0RT_tumor-control	paired	6.56333333333333	14.5	9.7	101bp	paired_101bp
MASTER-DKFZ_H021-SRB3XC_tumor-buffy_coat	paired	6.56333333333333	3.6	0.8671875	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_14527_tumor-control	paired	6.55666666666667	12.6	8.5	151bp_X10	paired_151bp_X10
PGBM-DKFZ_ICGC_GBM36_tumor-control	paired	6.465	5.6	4.1	101bp	paired_101bp
NB-DKFZ_K09R-ERF7VD_tumor1-blood1	paired	6.45833333333333	10.3	7.6	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_19073_tumor-control	paired	6.39833333333333	10.6	7.7	101bp	paired_101bp
RMM-DKFZ_H067-6K8YTY_tumor02-control02	paired	6.37333333333333	9.3	6.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-3AT3LR_metastasis-buffy_coat	paired	6.37333333333333	2.5	0.5166015625	151bp_X10	paired_151bp_X10
BLCA-US_TCGA-DK-A1AA_tumor-control	paired	6.36	4.1	3.2	101bp	paired_101bp
MYELOMA-DKFZ_K08K-MPT52W_tumor2-control1	paired	6.345	9.6	6.4	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0184_tumor-control	paired	6.32333333333333	3.9	2.9	101bp	paired_101bp
RECA-EU_C0008_tumor-control	paired	6.32	2.8	2.1	101bp	paired_101bp
CMDI-UK_CGP_donor_1600819_3_tumor-control	paired	6.29666666666667	9	6.6	101bp	paired_101bp
MASTER-DKFZ_H021-MAUZNK_tumor-buffy_coat	paired	6.23666666666667	6.1	4.3	151bp_X10	paired_151bp_X10
MNG-DKFZ_DKFZ-Mrad_17_tumor-blood	paired	6.235	12.8	7.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-JJ3WAR_metastasis-buffy_coat	paired	6.20666666666667	2.8	0.48828125	151bp_X10	paired_151bp_X10
SYSGLIO-DKFZ_H043-F14UH1_tumor02-blood	paired	6.20166666666667	3.7	0.861328125	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-GK4UEQ_metastasis-buffy-coat04	paired	6.185	2.6	0.53515625	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A2IZ_tumor-control	paired	6.185	2.1	0.4658203125	101bp	paired_101bp
BOCA-UK_CGP_donor_1437406_tumor-control	paired	6.175	2.7	0.9150390625	101bp	paired_101bp
NB-DKFZ_B087wgs_21009_tumor-control	paired	6.165	5.9	3.9	101bp	paired_101bp
MASTER-DKFZ_H021-W2LFQY_metastasis03-blood	paired	6.14	2.6	0.701171875	151bp_X10	paired_151bp_X10
RECA-EU_C0017_tumor-control	paired	6.12666666666667	2.2	0.6005859375	101bp	paired_101bp
PACA-CA_PCSI_0023_tumor-control	paired	6.115	6.4	4.7	101bp	paired_101bp
MASTER-DKFZ_H021-64DVV7_tumor-buffy_coat	paired	6.11333333333333	2.5	0.5830078125	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_25160_tumor-control	paired	6.09666666666667	4.6	3.3	151bp_X10	paired_151bp_X10
LINC-JP_HX11_tumor-control	paired	6.07333333333333	3.5	2.5	101bp	paired_101bp
EPN-DKFZ_XI049_7EP6-_tumor-blood	paired	6.06666666666667	7.9	5.7	151bp_X10	paired_151bp_X10
RMM-DKFZ_H067-6K8YTY_tumor-control02	paired	6.05333333333333	9.3	6.3	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-GHQ344_tumor02-buffy_coat02	paired	6.02833333333333	3.5	1.5	151bp_X10	paired_151bp_X10
PGBM-DKFZ_ICGC_GBM27_tumor-control	paired	6.01166666666667	5.4	3.9	101bp	paired_101bp
RECA-EU_C0089_tumor-control	paired	6	5.5	3.2	101bp	paired_101bp
MASTER-DKFZ_H021-CBCJVV_tumor-buffy_coat02	paired	5.985	2.4	0.6806640625	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-U5GLA3_tumor06-buffy_coat02	paired	5.97666666666667	2.6	0.7333984375	151bp_X10	paired_151bp_X10
RMM-DKFZ_H067-VXYWG8_tumor-control	paired	5.96666666666667	11	7.1	151bp_X10	paired_151bp_X10
LIRI-JP_RK149_tumor-control	paired	5.94166666666667	3.2	2.5	101bp	paired_101bp
MASTER-DKFZ_H021-UDQPEK_tumor-buffy_coat02	paired	5.93666666666667	2.6	0.77734375	151bp_X10	paired_151bp_X10
BRCA-UK_CGP_donor_1363969_tumor-control	paired	5.93166666666667	5.2	2.9	101bp	paired_101bp
MASTER-DKFZ_H021-W77W46_metastasis05-blood	paired	5.90666666666667	2.6	0.828125	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1437419_tumor-control	paired	5.885	4.7	2.9	101bp	paired_101bp
LIRI-JP_RK283_tumor-control	paired	5.885	4.2	2.8	101bp	paired_101bp
MELA-AU_MELA-0051_tumor-control	paired	5.86833333333333	5.2	3.3	101bp	paired_101bp
MASTER-DKFZ_H021-BEFLJU_tumor-control	paired	5.85833333333333	7.9	5.4	151bp_X10	paired_151bp_X10
MYELOMA-DKFZ_K08K-MPT52W_tumor1-control1	paired	5.85666666666667	9.6	6.3	151bp_X10	paired_151bp_X10
MYELOMA-DKFZ_K08K-UM8ZSV_tumor1-control1	paired	5.85666666666667	7.7	5.2	151bp_X10	paired_151bp_X10
NB-DKFZ_B087koeln_23103_tumor-control	paired	5.84666666666667	5.1	3.2	101bp	paired_101bp
NB-DKFZ_B087wgs_21702_tumor-control	paired	5.845	5	3.2	101bp	paired_101bp
RECA-EU_C0005_tumor-control	paired	5.82833333333333	2.8	2.1	101bp	paired_101bp
RECA-EU_C0075_tumor-control	paired	5.82833333333333	2.8	2.2	101bp	paired_101bp
PRAD-UK_A17-0095_CRUK_PC_0095_3_tumor-control	paired	5.81333333333333	2.2	0.65234375	101bp	paired_101bp
RECA-EU_C0012_tumor-control	paired	5.81	3.5	2.6	101bp	paired_101bp
PACA-CA_PCSI_0048_tumor-control	paired	5.8	4	2.2	101bp	paired_101bp
RECA-EU_C0032_tumor-control	paired	5.79166666666667	3.9	1.3	101bp	paired_101bp
LIRI-JP_RK109_tumor-control	paired	5.745	3.7	3	101bp	paired_101bp
PRAD-UK_A10-0015_CRUK_PC_0015_1_tumor-control	paired	5.73833333333333	2.6	1	101bp	paired_101bp
BRCA-US_TCGA-AO-A0J4_tumor-control	paired	5.72	3.6	1.6	101bp	paired_101bp
MASTER-DKFZ_H021-TEYDFZ_tumor-buffy_coat03	paired	5.7	2.6	0.84765625	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A3LY_tumor-control	paired	5.68833333333333	2.1	0.49609375	101bp	paired_101bp
MB-DKFZ_ICGC_MB309_tumor-control	paired	5.66333333333333	7.5	5.2	101bp	paired_101bp
MPNST2-DKFZ_XI086_T2785_tumor-control	paired	5.65333333333333	2.1	0.3349609375	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-3GUEVW_tumor02-buffy_coat02	paired	5.65166666666667	3	1	151bp_X10	paired_151bp_X10
PRAD-UK_A17-0095_CRUK_PC_0095_5_tumor-control	paired	5.63166666666667	2.2	0.7041015625	101bp	paired_101bp
PRAD-CA_CPCG0354_tumor-control	paired	5.62666666666667	5.8	4.2	101bp	paired_101bp
