reactomePathwayId	reactomePathwayName
15869	Metabolism of nucleotides
68616	Assembly of the ORC complex at the origin of replication
68689	CDC6 association with the ORC:origin complex
68827	CDT1 association with the CDC6:ORC:origin complex
68867	Assembly of the pre-replicative complex
68874	M/G1 Transition
68875	Mitotic Prophase
68877	Mitotic Prometaphase
68881	Mitotic Metaphase/Anaphase Transition
68882	Mitotic Anaphase
68884	Mitotic Telophase/Cytokinesis
68886	M Phase
68911	G2 Phase
68949	Orc1 removal from chromatin
68952	DNA replication initiation
68962	Activation of the pre-replicative complex
69002	DNA Replication Pre-Initiation
69017	CDK-mediated phosphorylation and removal of Cdc6
69052	Switching of origins to a post-replicative state
69091	Polymerase switching
69109	Leading Strand Synthesis
69166	Removal of the Flap Intermediate
69183	Processive synthesis on the lagging strand
69186	Lagging Strand Synthesis
69190	DNA strand elongation
69200	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
69202	Cyclin E associated events during G1/S transition 
69205	G1/S-Specific Transcription
69206	G1/S Transition
69229	Ubiquitin-dependent degradation of Cyclin D1
69231	Cyclin D associated events in G1
69236	G1 Phase
69239	Synthesis of DNA
69242	S Phase
69273	Cyclin A/B1/B2 associated events during G2/M transition
69275	G2/M Transition
69278	Cell Cycle, Mitotic
69306	DNA Replication
69416	Dimerization of procaspase-8
69473	G2/M DNA damage checkpoint
69478	G2/M DNA replication checkpoint
69481	G2/M Checkpoints
69541	Stabilization of p53
69560	Transcriptional activation of p53 responsive genes  
69563	p53-Dependent G1 DNA Damage Response
69580	p53-Dependent G1/S DNA damage checkpoint
69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
69610	p53-Independent DNA Damage Response
69613	p53-Independent G1/S DNA damage checkpoint
69615	G1/S DNA Damage Checkpoints
69618	Mitotic Spindle Checkpoint
69620	Cell Cycle Checkpoints
69656	Cyclin A:Cdk2-associated events at S phase entry
69895	Transcriptional  activation of  cell cycle inhibitor p21 
70171	Glycolysis
70221	Glycogen breakdown (glycogenolysis)
70263	Gluconeogenesis
70268	Pyruvate metabolism
70326	Glucose metabolism
70350	Fructose catabolism
70370	Galactose catabolism
70614	Amino acid synthesis and interconversion (transamination)
70635	Urea cycle
70688	Proline catabolism
70895	Branched-chain amino acid catabolism
70921	Histidine catabolism
71032	Propionyl-CoA catabolism
71064	Lysine catabolism
71182	Phenylalanine and tyrosine catabolism
71240	Tryptophan catabolism
71262	Carnitine synthesis
71288	Creatine metabolism
71291	Metabolism of amino acids and derivatives
71336	Pentose phosphate pathway
71384	Ethanol oxidation
71387	Metabolism of carbohydrates
71403	Citric acid cycle (TCA cycle)
71406	Pyruvate metabolism and Citric Acid (TCA) cycle
71737	Pyrophosphate hydrolysis
72086	mRNA Capping
72163	mRNA Splicing - Major Pathway
72165	mRNA Splicing - Minor Pathway
72172	mRNA Splicing
72187	mRNA 3'-end processing
72200	mRNA Editing: C to U Conversion
72202	Transport of Mature Transcript to Cytoplasm
72203	Processing of Capped Intron-Containing Pre-mRNA
72306	tRNA processing
72312	rRNA processing
72613	Eukaryotic Translation Initiation
72649	Translation initiation complex formation
72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S
72689	Formation of a pool of free 40S subunits
72695	Formation of the ternary complex, and subsequently, the 43S complex
72702	Ribosomal scanning and start codon recognition
72706	GTP hydrolysis and joining of the 60S ribosomal subunit
72731	Recycling of eIF2:GDP
72737	Cap-dependent Translation Initiation
72764	Eukaryotic Translation Termination
72766	Translation
73614	Pyrimidine salvage
73621	Pyrimidine catabolism
73728	RNA Polymerase I Promoter Opening
73762	RNA Polymerase I Transcription Initiation
73772	RNA Polymerase I Promoter Escape
73776	RNA Polymerase II Promoter Escape
73777	RNA Polymerase I Chain Elongation
73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening
73780	RNA Polymerase III Chain Elongation
73817	Purine ribonucleoside monophosphate biosynthesis
73843	5-Phosphoribose 1-diphosphate biosynthesis
73854	RNA Polymerase I Promoter Clearance
73856	RNA Polymerase II Transcription Termination
73857	RNA Polymerase II Transcription
73863	RNA Polymerase I Transcription Termination
73864	RNA Polymerase I Transcription
73884	Base Excision Repair
73886	Chromosome Maintenance
73887	Death Receptor Signalling
73893	DNA Damage Bypass
73894	DNA Repair
73927	Depurination
73928	Depyrimidination
73929	Base-Excision Repair, AP Site Formation
73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
73933	Resolution of Abasic Sites (AP sites)
73942	DNA Damage Reversal
73943	Reversal of alkylation damage by DNA dioxygenases
73980	RNA Polymerase III Transcription Termination
74158	RNA Polymerase III Transcription
74160	Gene expression (Transcription)
74182	Ketone body metabolism
74217	Purine salvage
74259	Purine catabolism
74713	IRS activation
74749	Signal attenuation
74751	Insulin receptor signalling cascade
74752	Signaling by Insulin receptor
75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
75064	mRNA Editing: A to I Conversion
75067	Processing of Capped Intronless Pre-mRNA
75072	mRNA Editing
75094	Formation of the Editosome
75102	C6 deamination of adenosine
75105	Fatty acyl-CoA biosynthesis
75108	Activation, myristolyation of BID and translocation to mitochondria
75109	Triglyceride biosynthesis
75153	Apoptotic execution phase
75157	FasL/ CD95L signaling
75158	TRAIL  signaling
75205	Dissolution of Fibrin Clot
75815	Ubiquitin-dependent degradation of Cyclin D
75876	Synthesis of very long-chain fatty acyl-CoAs
75892	Platelet Adhesion to exposed collagen
75893	TNF signaling
75896	Plasmalogen biosynthesis
75944	Transcription from mitochondrial promoters
75953	RNA Polymerase II Transcription Initiation
75955	RNA Polymerase II Transcription Elongation
76002	Platelet activation, signaling and aggregation
76005	Response to elevated platelet cytosolic Ca2+
76009	Platelet Aggregation (Plug Formation)
76042	RNA Polymerase II Transcription Initiation And Promoter Clearance
76046	RNA Polymerase III Transcription Initiation
76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter
76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter
76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter
77042	Formation of editosomes by ADAR proteins
77075	RNA Pol II CTD phosphorylation and interaction with CE
77108	Utilization of Ketone Bodies
77111	Synthesis of Ketone Bodies
77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA
77286	mitochondrial fatty acid beta-oxidation of saturated fatty acids
77288	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids
77289	Mitochondrial Fatty Acid Beta-Oxidation
77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA
77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA
77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA
77352	Beta oxidation of butanoyl-CoA to acetyl-CoA
77387	Insulin receptor recycling
77588	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
77595	Processing of Intronless Pre-mRNAs
83936	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
109581	Apoptosis
109582	Hemostasis
109606	Intrinsic Pathway for Apoptosis
109688	Cleavage of Growing Transcript in the Termination Region 
109703	PKB-mediated events
109704	PI3K Cascade
110056	MAPK3 (ERK1) activation
110312	Translesion synthesis by REV1
110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
110314	Recognition of DNA damage by PCNA-containing replication complex
110320	Translesion Synthesis by POLH
110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
110329	Cleavage of the damaged pyrimidine 
110330	Recognition and association of DNA glycosylase with site containing an affected purine
110331	Cleavage of the damaged purine
110357	Displacement of DNA glycosylase by APEX1
110362	POLB-Dependent Long Patch Base Excision Repair
110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
110381	Resolution of AP sites via the single-nucleotide replacement pathway
111367	SLBP independent Processing of Histone Pre-mRNAs
111446	Activation of BIM and translocation to mitochondria 
111447	Activation of BAD and translocation to mitochondria 
111448	Activation of NOXA and translocation to mitochondria
111452	Activation and oligomerization of BAK protein
111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
111457	Release of apoptotic factors from the mitochondria
111458	Formation of apoptosome
111459	Activation of caspases through apoptosome-mediated cleavage
111461	Cytochrome c-mediated apoptotic response
111463	SMAC binds to IAPs 
111464	SMAC-mediated dissociation of IAP:caspase complexes 
111465	Apoptotic cleavage of cellular proteins
111469	SMAC-mediated apoptotic response
111471	Apoptotic factor-mediated response
111885	Opioid Signalling
111931	PKA-mediated phosphorylation of CREB
111932	CaMK IV-mediated phosphorylation of CREB
111933	Calmodulin induced events
111957	Cam-PDE 1 activation
111995	phospho-PLA2 pathway
111996	Ca-dependent events
111997	CaM pathway
112040	G-protein mediated events
112043	PLC beta mediated events
112122	ALKBH2 mediated reversal of alkylation damage
112126	ALKBH3 mediated reversal of alkylation damage
112303	Electric Transmission Across Gap Junctions
112307	Transmission across Electrical Synapses 
112308	Presynaptic depolarization and calcium channel opening
112310	Neurotransmitter release cycle
112311	Neurotransmitter clearance
112313	Neurotransmitter uptake and metabolism In glial cells
112314	Neurotransmitter receptors and postsynaptic signal transmission
112315	Transmission across Chemical Synapses
112316	Neuronal System
112382	Formation of RNA Pol II elongation complex 
112399	IRS-mediated signalling
112409	RAF-independent MAPK1/3 activation
112411	MAPK1 (ERK2) activation
