#chromosomeIndex	startPos	endPos	cytobandIndex	colourIndex	cytobandName
1	0	2300000	1	7	1p36.33
1	2300000	5400000	2	4	1p36.32
1	5400000	7200000	3	7	1p36.31
1	7200000	9200000	4	4	1p36.23
1	9200000	12700000	5	7	1p36.22
1	12700000	16200000	6	1	1p36.21
1	16200000	20400000	7	7	1p36.13
1	20400000	23900000	8	4	1p36.12
1	23900000	28000000	9	7	1p36.11
1	28000000	30200000	10	4	1p35.3
1	30200000	32400000	11	7	1p35.2
1	32400000	34600000	12	4	1p35.1
1	34600000	40100000	13	7	1p34.3
1	40100000	44100000	14	4	1p34.2
1	44100000	46800000	15	7	1p34.1
1	46800000	50700000	16	2	1p33
1	50700000	56100000	17	7	1p32.3
1	56100000	59000000	18	1	1p32.2
1	59000000	61300000	19	7	1p32.1
1	61300000	68900000	20	1	1p31.3
1	68900000	69700000	21	7	1p31.2
1	69700000	84900000	22	0	1p31.1
1	84900000	88400000	23	7	1p22.3
1	88400000	92000000	24	2	1p22.2
1	92000000	94700000	25	7	1p22.1
1	94700000	99700000	26	2	1p21.3
1	99700000	102200000	27	7	1p21.2
1	102200000	107200000	28	0	1p21.1
1	107200000	111800000	29	7	1p13.3
1	111800000	116100000	30	1	1p13.2
1	116100000	117800000	31	7	1p13.1
1	117800000	120600000	32	1	1p12
1	120600000	121500000	33	7	1p11.2
1	121500000	125000000	34	5	1p11.1
1	125000000	128900000	35	5	1q11
1	128900000	142600000	36	3	1q12
1	142600000	147000000	37	7	1q21.1
1	147000000	150300000	38	1	1q21.2
1	150300000	155000000	39	7	1q21.3
1	155000000	156500000	40	1	1q22
1	156500000	159100000	41	7	1q23.1
1	159100000	160500000	42	1	1q23.2
1	160500000	165500000	43	7	1q23.3
1	165500000	167200000	44	1	1q24.1
1	167200000	170900000	45	7	1q24.2
1	170900000	172900000	46	2	1q24.3
1	172900000	176000000	47	7	1q25.1
1	176000000	180300000	48	1	1q25.2
1	180300000	185800000	49	7	1q25.3
1	185800000	190800000	50	0	1q31.1
1	190800000	193800000	51	7	1q31.2
1	193800000	198700000	52	0	1q31.3
1	198700000	207200000	53	7	1q32.1
1	207200000	211500000	54	4	1q32.2
1	211500000	214500000	55	7	1q32.3
1	214500000	224100000	56	0	1q41
1	224100000	224600000	57	7	1q42.11
1	224600000	227000000	58	4	1q42.12
1	227000000	230700000	59	7	1q42.13
1	230700000	234700000	60	1	1q42.2
1	234700000	236600000	61	7	1q42.3
1	236600000	243700000	62	2	1q43
1	243700000	249250621	63	7	1q44
2	0	4400000	64	7	2p25.3
2	4400000	7100000	65	1	2p25.2
2	7100000	12200000	66	7	2p25.1
2	12200000	16700000	67	2	2p24.3
2	16700000	19200000	68	7	2p24.2
2	19200000	24000000	69	2	2p24.1
2	24000000	27900000	70	7	2p23.3
2	27900000	30000000	71	4	2p23.2
2	30000000	32100000	72	7	2p23.1
2	32100000	36600000	73	2	2p22.3
2	36600000	38600000	74	7	2p22.2
2	38600000	41800000	75	1	2p22.1
2	41800000	47800000	76	7	2p21
2	47800000	52900000	77	0	2p16.3
2	52900000	55000000	78	7	2p16.2
2	55000000	61300000	79	0	2p16.1
2	61300000	64100000	80	7	2p15
2	64100000	68600000	81	1	2p14
2	68600000	71500000	82	7	2p13.3
2	71500000	73500000	83	1	2p13.2
2	73500000	75000000	84	7	2p13.1
2	75000000	83300000	85	0	2p12
2	83300000	90500000	86	7	2p11.2
2	90500000	93300000	87	5	2p11.1
2	93300000	96800000	88	5	2q11.1
2	96800000	102700000	89	7	2q11.2
2	102700000	106000000	90	1	2q12.1
2	106000000	107500000	91	7	2q12.2
2	107500000	110200000	92	4	2q12.3
2	110200000	114400000	93	7	2q13
2	114400000	118800000	94	1	2q14.1
2	118800000	122400000	95	7	2q14.2
2	122400000	129900000	96	1	2q14.3
2	129900000	132500000	97	7	2q21.1
2	132500000	135100000	98	4	2q21.2
2	135100000	136800000	99	7	2q21.3
2	136800000	142200000	100	0	2q22.1
2	142200000	144100000	101	7	2q22.2
2	144100000	148700000	102	0	2q22.3
2	148700000	149900000	103	7	2q23.1
2	149900000	150500000	104	4	2q23.2
2	150500000	154900000	105	7	2q23.3
2	154900000	159800000	106	2	2q24.1
2	159800000	163700000	107	7	2q24.2
2	163700000	169700000	108	2	2q24.3
2	169700000	178000000	109	7	2q31.1
2	178000000	180600000	110	1	2q31.2
2	180600000	183000000	111	7	2q31.3
2	183000000	189400000	112	2	2q32.1
2	189400000	191900000	113	7	2q32.2
2	191900000	197400000	114	2	2q32.3
