geneTypeIndex	geneType	geneSupertype
0	unprocessed_pseudogene	pseudo
1	transcribed_unprocessed_pseudogene	pseudo
2	transcribed_processed_pseudogene	pseudo
3	sense_intronic	others
4	pseudogene	pseudo
5	protein_coding	coding
6	processed_transcript	others
7	processed_pseudogene	pseudo
8	polymorphic_pseudogene	pseudo
9	miRNA	miRNA
10	lincRNA	lincRNA
11	antisense_RNA	others
12	TR_locus	igtrGene
13	TR_V_pseudogene	igtrGene
14	TR_V_gene	igtrGene
15	TR_J_pseudogene	igtrGene
16	TR_J_gene	igtrGene
17	TR_D_gene	igtrGene
18	TR_C_gene	igtrGene
19	IG_pseudogene	igtrGene
20	IG_locus	igtrGene
21	IG_V_pseudogene	igtrGene
22	IG_V_gene	igtrGene
23	IG_J_pseudogene	igtrGene
24	IG_J_gene	igtrGene
25	IG_D_gene	igtrGene
26	IG_C_pseudogene	igtrGene
27	IG_C_gene	igtrGene
28	transcribed_unitary_pseudogene	pseudo
29	nonsense_mediated_decay	others
30	retained_intron	others
31	translated_processed_pseudogene	pseudo
32	macro_lncRNA	lincRNA
