#chromosomeIndex	startPos	endPos	tadIndex
1	1	50000	1
1	10000	720000	2
1	640000	1225000	3
1	1185000	1680000	4
1	1635000	2640000	5
1	2460000	3680000	6
1	3560000	6120000	7
1	6040000	7760000	8
1	7680000	8440000	9
1	8400000	8990000	10
1	8920000	9720000	11
1	9640000	10600000	12
1	10525000	11090000	13
1	11040000	12120000	14
1	12040000	12950000	15
1	12840000	13480000	16
1	13440000	13790000	17
1	13720000	14280000	18
1	14240000	15840000	19
1	15800000	16400000	20
1	16360000	17280000	21
1	17200000	19240000	22
1	19160000	20065000	23
1	20000000	21000000	24
1	20950000	21565000	25
1	21520000	22390000	26
1	22320000	23000000	27
1	22935000	23320000	28
1	23280000	23665000	29
1	23600000	24115000	30
1	24040000	25120000	31
1	24975000	25600000	32
1	25560000	26320000	33
1	26150000	26800000	34
1	26760000	27320000	35
1	27250000	27640000	36
1	27585000	29000000	37
1	28920000	29590000	38
1	29520000	31240000	39
1	31160000	33600000	40
1	33520000	34040000	41
1	33950000	35320000	42
1	35240000	36025000	43
1	35985000	36315000	44
1	36240000	36960000	45
1	36900000	37960000	46
1	37880000	39365000	47
1	39320000	40290000	48
1	40240000	41040000	49
1	40985000	41500000	50
1	41440000	41925000	51
1	41860000	42640000	52
1	42560000	43240000	53
1	43185000	43680000	54
1	43625000	44000000	55
1	43920000	44560000	56
1	44480000	45215000	57
1	45160000	46050000	58
1	46000000	46500000	59
1	46440000	46880000	60
1	46840000	47200000	61
1	47160000	47680000	62
1	47600000	48320000	63
1	48200000	50920000	64
1	50840000	51800000	65
1	51735000	52520000	66
1	52460000	52850000	67
1	52800000	53740000	68
1	53680000	54275000	69
1	54200000	55440000	70
1	55360000	57280000	71
1	57240000	59160000	72
1	59080000	60400000	73
1	60325000	61360000	74
1	61280000	62665000	75
1	62600000	64000000	76
1	63960000	64760000	77
1	64685000	65540000	78
1	65460000	66280000	79
1	66200000	66715000	80
1	66660000	67240000	81
1	67160000	68000000	82
1	67935000	68320000	83
1	68240000	68890000	84
1	68840000	71000000	85
1	70920000	71560000	86
1	71520000	72640000	87
1	72560000	73160000	88
1	73000000	73840000	89
1	73640000	74240000	90
1	74160000	75215000	91
1	75160000	76320000	92
1	76240000	77600000	93
1	77560000	78160000	94
1	78040000	78600000	95
1	78560000	79200000	96
1	79120000	79800000	97
1	79680000	80680000	98
1	80600000	81815000	99
1	81640000	82360000	100
1	82240000	83160000	101
1	82840000	83640000	102
1	83560000	84360000	103
1	84320000	85760000	104
1	85685000	86840000	105
1	86760000	87240000	106
1	87185000	87575000	107
1	87520000	89400000	108
1	89360000	89965000	109
1	89910000	90520000	110
1	90460000	91960000	111
1	91880000	92450000	112
1	92400000	93300000	113
1	93240000	94415000	114
1	94360000	94960000	115
1	94910000	95320000	116
1	95260000	95720000	117
1	95640000	97400000	118
1	97320000	99080000	119
1	99000000	100240000	120
1	100200000	101000000	121
1	100920000	101400000	122
1	101350000	101880000	123
1	101800000	103040000	124
1	103000000	103440000	125
1	103360000	103800000	126
1	103760000	104240000	127
1	104160000	105175000	128
1	105120000	106400000	129
1	106320000	107000000	130
1	106720000	107840000	131
1	107760000	108320000	132
1	108260000	110600000	133
1	110535000	111090000	134
1	111040000	112000000	135
1	111960000	112440000	136
1	112325000	113280000	137
