tadIndex	chromosomeIndex	startPos	endPos	cytobandIndices	geneIndices
1	1	1	50000	1	223972;227232;237613;243485
2	1	10000	720000	1	186092;198744;223972;225630;225972;227232;228327;228463;229344;229376;230021;233750;235146;235249;235373;236601;236743;237491;237613;237683;237973;238009;239945;240361;240409;241599;243485;248527;268020;268663;268903;269981;284662
3	1	640000	1225000	1	78808;131591;160087;162571;162572;176022;177757;184163;186827;186891;187583;187608;187634;187642;187961;188157;188290;188976;198976;207607;207730;217801;223764;223823;225880;228327;229376;230021;230092;230368;230415;230699;231702;234711;235373;237330;237491;241180;260179;268179;269308;269831;272141;272438;272512;273443;283040
4	1	1185000	1680000	1	8128;107404;127054;131584;160072;160075;160087;162572;162576;169962;169972;175756;179403;189339;189409;197530;197785;205090;205116;215014;215790;215914;215915;221978;223663;224051;225285;227775;228594;230415;235098;242485;248333;260179;269737;272455;274481
5	1	1635000	2640000	1;2	8128;8130;67606;78369;116151;142606;142609;149527;157870;157873;157881;157911;157916;157933;162585;169885;178821;187730;197921;203301;215790;215912;227775;228037;234396;269554;269753;269896;272449
6	1	2460000	3680000	2	78900;116213;130762;142606;142611;157870;157873;158109;162591;162592;169717;197921;207776;215912;227372;228037;231630;233234;272088;272235;272449;284745
7	1	3560000	6120000	2;3	69424;78900;116198;116213;130764;131697;162592;169598;196581;198912;216045;226374;227169;227372;229280;231510;232596;233304;235054;235169;236423;236948;260972;264101;264341;264428;266687;268332;283356;284616;284666;284668;284674;284692;284694;284703;284739
8	1	6040000	7760000	3;4	7923;41988;69424;69812;97021;116237;116251;116254;116273;131697;158286;158292;162408;162413;171680;171735;173662;173673;187017;204859;215788;225077;227950;228750;229519;265392;268332;270035;270171;284744
9	1	7680000	8440000	4	49245;49246;49247;49249;116285;116288;142599;162426;171735;227634;229305;232848;233645;238290;269978;270035;270171;270330;284716
10	1	8400000	8990000	4	74800;142599;162426;224315;226545;228423;229716;232208;232663;234619;238249;270282
11	1	8920000	9720000	4;5	49239;74800;131686;142583;171608;171612;171621;180758;188807;197241;207865;228526;231181;232208;232663;234546;235263;238249;252841;281937;284652;284693
12	1	9640000	10600000	5	54523;130939;142655;142657;160049;162441;162444;171603;171608;171612;173614;175279;178585;188807;224340;233268;233623;241563;251503;264881;265521;271264;284642;284735
13	1	10525000	11090000	5	9724;120948;130940;142655;160049;175262;215785;225158;264181;277726
14	1	11040000	12120000	5	9724;11021;83444;116649;116661;116663;116670;116685;116688;116691;120937;120942;120948;132879;162490;171819;171824;175206;175262;177000;177674;198793;204624;215785;215910;224338;224904;235643;238173;238199;264181;270914;277726;284646
15	1	12040000	12950000	5;6	28137;48707;116688;116691;116721;116726;120949;120952;157330;162496;179172;188984;204513;204518;225196;226166;227875;228338;229484;231103;243073;263676;270914;272482
16	1	12840000	13480000	6	116721;120952;179172;179412;182330;187545;204491;204501;204502;204503;204508;204510;204513;228229;228338;229571;231103;231219;232423;233336;234064;236179;239810;243073;274178;275774;277862;279169
17	1	13440000	13790000	6	157358;204478;204479;204480;204481;204486;204488;204491;274178;279169
18	1	13720000	14280000	6	116731;162493;162494;189337;204478;215909;237445;266358
19	1	14240000	15840000	6	132906;142615;142621;142634;162438;171729;189337;204464;215704;215720;228140;231606;234593;235829;278480
20	1	15800000	16400000	6;7	65526;116138;116771;116786;116809;132906;162458;162460;162461;173641;178715;183888;184908;185519;186510;197312;215695;215704;224321;224966;231353;232456;233954;234607;235084;236500;264048;270620;271742;275503
21	1	16360000	17280000	7	37637;55070;58453;80947;132881;142627;142632;157191;184908;185519;186301;186510;186715;187144;204377;215908;219481;223643;224174;225710;226029;226457;227684;228549;230239;232456;233421;233929;235241;236698;237276;237847;238142;261135;263811;264742;266584;268674;268869;268991;271732;272426;279151;282143;282740;283773
22	1	17200000	19240000	7	9709;58453;74964;117115;117118;117122;117148;117154;142619;142623;159339;159363;159423;169991;179002;179023;179051;204362;221662;225387;225478;228549;235241;235282;236648;238142;255275;261781;265606;266634;266727;269468;272426;276747;282843;284653
23	1	19160000	20065000	7	40487;53371;53372;77549;127463;127481;158747;158748;159423;162482;162542;169991;173436;179002;211454;221662;226396;255275;265606;266098;270136;270728
24	1	20000000	21000000	7;8	90432;117215;117245;127472;158748;158786;158816;158825;158828;162542;162543;162545;169914;178828;183114;187980;188257;188784;215520;226487;227066;228105;236963;244038;284641;284710;284743
25	1	20950000	21565000	8	75151;117245;117298;127483;158828;189410;221808;233072;235112;235432;236073;244038;266867
26	1	21520000	22390000	8	70831;76864;90686;117298;142789;142794;142798;162551;176378;186543;187942;187952;218510;219073;221781;227001;228397;228823;231978;232037;236009;236216;283234
27	1	22320000	23000000	8	70831;70886;142789;159189;162552;173369;173372;184677;218510;219073;228397;234397;266564;271428;271840
28	1	22935000	23320000	8	133216;159189;173369;173372;215906;216157;264014;265422
29	1	23280000	23665000	8	4487;125944;169641;179546;215381;215906;227868;229010;261326;263793;266802;284726
30	1	23600000	24115000	8;9	7968;11007;57757;88280;117318;125944;125945;142676;197880;204219;229239;232482;235052;261326;271420;284726
