ENST00000450305	DDX11L1
ENST00000488147	WASH7P
ENST00000473358	MIR1302-2HG
ENST00000469289	MIR1302-2HG
ENST00000417324	FAM138A
ENST00000606857	AL627309.6
ENST00000492842	OR4G11P
ENST00000641515	OR4F5
ENST00000335137	OR4F5
ENST00000466430	AL627309.1
ENST00000610542	AL627309.1
ENST00000495576	AL627309.3
ENST00000442987	CICP27
ENST00000423372	AL627309.1
ENST00000494149	AL627309.7
ENST00000595919	AL627309.8
ENST00000496488	AL627309.4
ENST00000424587	AP006222.2
ENST00000426406	OR4F29
ENST00000450983	RP4-669L17.2
ENST00000441866	RP5-857K21.15
ENST00000636676	AL669831.3
ENST00000423796	AC114498.1
ENST00000416931	MTND1P23
ENST00000457540	MTND2P28
ENST00000414273	MTCO1P12
ENST00000427426	MTCO2P12
ENST00000467115	MTATP8P1
ENST00000514057	MTATP6P1
ENST00000416718	MTCO3P12
ENST00000438434	WBP1LP6
ENST00000332831	OR4F16
ENST00000440782	CICP3
ENST00000428504	AL669831.1
ENST00000416385	RP11-206L10.3
ENST00000434264	AL669831.5
ENST00000457084	AL669831.5
ENST00000429505	AL669831.5
ENST00000591702	AL669831.5
ENST00000443772	AL669831.5
ENST00000412115	AL669831.5
ENST00000590817	AL669831.4
ENST00000599533	AL669831.1
ENST00000326734	FAM87B
ENST00000473798	LINC00115
ENST00000446136	FAM41C
ENST00000432963	FAM41C
ENST00000415481	TUBB8P11
ENST00000635557	AL669831.6
ENST00000594233	AL645608.2
ENST00000607769	AL645608.7
ENST00000448179	AL645608.3
ENST00000398216	AL645608.5
ENST00000417705	AL645608.1
ENST00000342066	SAMD11
ENST00000618181	SAMD11
ENST00000622503	SAMD11
ENST00000618323	SAMD11
ENST00000616016	SAMD11
ENST00000618779	SAMD11
ENST00000616125	SAMD11
ENST00000620200	SAMD11
ENST00000617307	SAMD11
ENST00000598827	AL645608.1
ENST00000327044	NOC2L
ENST00000338591	KLHL17
ENST00000622660	KLHL17
ENST00000379410	PLEKHN1
ENST00000379409	PLEKHN1
ENST00000379407	PLEKHN1
ENST00000341290	PERM1
ENST00000433179	PERM1
ENST00000606034	AL645608.8
ENST00000428771	HES4
ENST00000304952	HES4
ENST00000484667	HES4
ENST00000624697	ISG15
ENST00000379389	ISG15
ENST00000423619	AL645608.4
ENST00000379370	AGRN
ENST00000620552	AGRN
ENST00000412397	AL390719.1
ENST00000442292	AL645608.9
ENST00000453464	RNF223
ENST00000379339	C1orf159
ENST00000421241	C1orf159
ENST00000379320	C1orf159
ENST00000379319	C1orf159
ENST00000416774	LINC01342
ENST00000384997	MIR200B
ENST00000384875	MIR200A
ENST00000362106	MIR429
ENST00000606993	AL390719.2
ENST00000379290	TTLL10
ENST00000379289	TTLL10
ENST00000379288	TTLL10
ENST00000328596	TNFRSF18
ENST00000379268	TNFRSF18
ENST00000486728	TNFRSF18
ENST00000379265	TNFRSF18
ENST00000379236	TNFRSF4
ENST00000360001	SDF4
ENST00000263741	SDF4
ENST00000379198	B3GALT6
ENST00000330388	C1QTNF12
ENST00000565563	AL162741.1
ENST00000347370	UBE2J2
ENST00000349431	UBE2J2
ENST00000400929	UBE2J2
ENST00000360466	UBE2J2
ENST00000400930	UBE2J2
ENST00000434139	LINC01786
ENST00000453732	LINC01786
ENST00000379116	SCNN1D
ENST00000338555	SCNN1D
ENST00000400928	SCNN1D
ENST00000325425	SCNN1D
ENST00000354700	ACAP3
ENST00000353662	ACAP3
ENST00000379031	PUSL1
ENST00000540437	INTS11
ENST00000545578	INTS11
ENST00000620829	INTS11
ENST00000618806	INTS11
ENST00000435064	INTS11
ENST00000411962	INTS11
ENST00000421495	INTS11
ENST00000419704	INTS11
ENST00000450926	INTS11
ENST00000429572	INTS11
ENST00000343938	CPTP
ENST00000339381	TAS1R3
ENST00000378891	DVL1
ENST00000378888	DVL1
ENST00000610709	DVL1
ENST00000342753	MXRA8
ENST00000309212	MXRA8
ENST00000445648	MXRA8
ENST00000477278	MXRA8
ENST00000338370	AURKAIP1
ENST00000338338	AURKAIP1
ENST00000321751	AURKAIP1
ENST00000378853	AURKAIP1
ENST00000435351	NDUFB4P8
ENST00000400809	CCNL2
ENST00000408952	CCNL2
ENST00000408918	CCNL2
ENST00000344843	MRPL20
ENST00000482352	MRPL20
ENST00000607307	AL391244.3
ENST00000520296	ANKRD65
ENST00000427211	ANKRD65
ENST00000537107	ANKRD65
ENST00000454272	ANKRD65
ENST00000442470	ANKRD65
ENST00000378821	TMEM88B
ENST00000430109	LINC01770
ENST00000417917	LINC01770
ENST00000338660	VWA1
ENST00000476993	VWA1
ENST00000378785	ATAD3C
ENST00000308647	ATAD3B
ENST00000378756	ATAD3A
ENST00000378755	ATAD3A
ENST00000536055	ATAD3A
ENST00000378733	TMEM240
ENST00000425828	TMEM240
ENST00000624426	TMEM240
ENST00000291386	SSU72
ENST00000359060	SSU72
ENST00000366221	AL645728.1
ENST00000621860	AL691432.3
ENST00000422725	FNDC10
ENST00000520777	MIB2
ENST00000355826	MIB2
ENST00000518681	MIB2
ENST00000505820	MIB2
ENST00000378712	MIB2
ENST00000504599	MIB2
ENST00000378708	MIB2
ENST00000356026	MMP23B
ENST00000378675	MMP23B
ENST00000341832	CDK11B
ENST00000407249	CDK11B
ENST00000340677	CDK11B
ENST00000629289	CDK11B
ENST00000626918	CDK11B
ENST00000629312	CDK11B
ENST00000614300	SLC35E2B
ENST00000617444	SLC35E2B
ENST00000611123	SLC35E2B
ENST00000597891	AL691432.1
ENST00000234610	MMP23A
ENST00000356200	CDK11A
ENST00000378638	CDK11A
ENST00000404249	CDK11A
ENST00000357760	CDK11A
ENST00000358779	CDK11A
ENST00000378633	CDK11A
ENST00000418950	AL031282.1
ENST00000355439	SLC35E2
ENST00000246421	SLC35E2
ENST00000341426	NADK
ENST00000341991	NADK
ENST00000378625	NADK
ENST00000610897	GNB1
ENST00000615252	GNB1
ENST00000378609	GNB1
ENST00000307786	CALML6
ENST00000378602	TMEM52
ENST00000310991	TMEM52
ENST00000493964	CFAP74
ENST00000378585	GABRD
ENST00000640067	GABRD
ENST00000638771	GABRD
ENST00000640949	GABRD
ENST00000400921	PRKCZ
ENST00000400919	FAAP20
ENST00000378546	FAAP20
ENST00000597060	AL590822.2
ENST00000545087	AL590822.1
ENST00000442483	AL590822.1
ENST00000378536	SKI
ENST00000378531	MORN1
ENST00000378529	MORN1
ENST00000600779	AL589739.1
ENST00000417061	AL513477.1
ENST00000378513	RER1
ENST00000378518	RER1
ENST00000605895	RER1
ENST00000378512	RER1
ENST00000488353	RER1
ENST00000288774	PEX10
ENST00000447513	PEX10
ENST00000507596	PEX10
ENST00000449969	PLCH2
ENST00000419816	PLCH2
ENST00000378486	PLCH2
ENST00000378466	PANK4
ENST00000378453	HES5
ENST00000606645	AL139246.5
ENST00000409119	TNFRSF14
ENST00000355716	TNFRSF14
ENST00000424215	AL139246.3
ENST00000444521	FAM213B
ENST00000378425	FAM213B
ENST00000419916	FAM213B
ENST00000378424	FAM213B
ENST00000537325	FAM213B
ENST00000378412	MMEL1
ENST00000502556	MMEL1
ENST00000401095	TTC34
ENST00000637179	TTC34
ENST00000457440	AL592464.2
ENST00000429389	AL592464.1
ENST00000641229	AL589702.1
ENST00000378404	ACTRT2
ENST00000511072	PRDM16
ENST00000378391	PRDM16
ENST00000514189	PRDM16
ENST00000270722	PRDM16
ENST00000607061	AL590438.1
ENST00000378378	ARHGEF16
ENST00000378373	ARHGEF16
ENST00000378371	ARHGEF16
ENST00000606489	AL512413.1
ENST00000294599	MEGF6
ENST00000356575	MEGF6
ENST00000385042	MIR551A
ENST00000378344	TPRG1L
ENST00000344579	TPRG1L
ENST00000378322	WRAP73
ENST00000270708	WRAP73
ENST00000378295	TP73
ENST00000604074	TP73
ENST00000354437	TP73
ENST00000357733	TP73
ENST00000346387	TP73
ENST00000603362	TP73
ENST00000604479	TP73
ENST00000378285	TP73
ENST00000378280	TP73
ENST00000378288	TP73
ENST00000378290	TP73
ENST00000637775	TP73-AS1
ENST00000294600	CCDC27
ENST00000444870	SMIM1
ENST00000561886	SMIM1
ENST00000378251	LRRC47
ENST00000378230	CEP104
ENST00000378223	CEP104
ENST00000625756	DFFB
ENST00000338895	DFFB
ENST00000378209	DFFB
ENST00000341385	DFFB
ENST00000579705	AL691523.1
ENST00000361605	C1orf174
ENST00000442673	LINC01134
ENST00000439488	LINC01134
ENST00000412674	LINC01346
ENST00000635247	LINC01345
ENST00000642026	AL805961.1
ENST00000641562	AL805961.1
ENST00000641078	AL805961.1
ENST00000642139	AL805961.2
ENST00000449232	EEF1DP6
ENST00000423197	LINC01777
ENST00000641472	AL355602.1
ENST00000438791	Z98747.1
ENST00000634256	LINC01646
ENST00000420522	LINC01646
ENST00000378190	AJAP1
ENST00000378191	AJAP1
ENST00000641254	BX005132.2
ENST00000641403	BX005132.1
ENST00000443270	AL691497.1
ENST00000641871	AL139823.1
ENST00000641860	Z98259.3
ENST00000641583	Z98259.2
ENST00000564261	Z98259.1
ENST00000637697	Z97988.1
ENST00000637702	AL365255.1
ENST00000413887	AL365255.1
