ENST00000450305	ENSG00000223972
ENST00000488147	ENSG00000227232
ENST00000473358	ENSG00000243485
ENST00000469289	ENSG00000243485
ENST00000417324	ENSG00000237613
ENST00000606857	ENSG00000268020
ENST00000492842	ENSG00000240361
ENST00000641515	ENSG00000186092
ENST00000335137	ENSG00000186092
ENST00000466430	ENSG00000238009
ENST00000610542	ENSG00000238009
ENST00000495576	ENSG00000239945
ENST00000442987	ENSG00000233750
ENST00000423372	ENSG00000237683
ENST00000494149	ENSG00000268903
ENST00000595919	ENSG00000269981
ENST00000496488	ENSG00000241599
ENST00000424587	ENSG00000228463
ENST00000426406	ENSG00000235249
ENST00000450983	ENSG00000236601
ENST00000441866	ENSG00000236743
ENST00000636676	ENSG00000230021
ENST00000423796	ENSG00000235146
ENST00000416931	ENSG00000225972
ENST00000457540	ENSG00000225630
ENST00000414273	ENSG00000237973
ENST00000427426	ENSG00000229344
ENST00000467115	ENSG00000240409
ENST00000514057	ENSG00000248527
ENST00000416718	ENSG00000198744
ENST00000438434	ENSG00000268663
ENST00000332831	ENSG00000284662
ENST00000440782	ENSG00000229376
ENST00000428504	ENSG00000228327
ENST00000416385	ENSG00000235373
ENST00000434264	ENSG00000237491
ENST00000457084	ENSG00000237491
ENST00000429505	ENSG00000237491
ENST00000591702	ENSG00000237491
ENST00000443772	ENSG00000237491
ENST00000412115	ENSG00000237491
ENST00000590817	ENSG00000230092
ENST00000599533	ENSG00000269831
ENST00000326734	ENSG00000177757
ENST00000473798	ENSG00000225880
ENST00000446136	ENSG00000230368
ENST00000432963	ENSG00000230368
ENST00000415481	ENSG00000234711
ENST00000635557	ENSG00000283040
ENST00000594233	ENSG00000269308
ENST00000607769	ENSG00000272438
ENST00000448179	ENSG00000230699
ENST00000398216	ENSG00000241180
ENST00000417705	ENSG00000223764
ENST00000342066	ENSG00000187634
ENST00000618181	ENSG00000187634
ENST00000622503	ENSG00000187634
ENST00000618323	ENSG00000187634
ENST00000616016	ENSG00000187634
ENST00000618779	ENSG00000187634
ENST00000616125	ENSG00000187634
ENST00000620200	ENSG00000187634
ENST00000617307	ENSG00000187634
ENST00000598827	ENSG00000268179
ENST00000327044	ENSG00000188976
ENST00000338591	ENSG00000187961
ENST00000622660	ENSG00000187961
ENST00000379410	ENSG00000187583
