#chromosomeIndex	startPos	endPos	geneTypeIndex	geneId	cytobandIndices
1	11869	14409	1	223972	1
1	14404	29570	0	227232	1
1	29554	31109	10	243485	1
1	34554	36081	10	237613	1
1	52473	53312	0	268020	1
1	57598	64116	1	240361	1
1	65419	71585	5	186092	1
1	89295	133723	10	238009	1
1	89551	91105	10	239945	1
1	131025	134836	7	233750	1
1	134901	139379	5	237683	1
1	135141	135895	7	268903	1
1	137682	137965	7	269981	1
1	160446	161525	10	241599	1
1	227615	267253	10	228463	1
1	367640	368634	5	235249	1
1	453633	460480	10	236601	1
1	459656	461954	10	236743	1
1	521451	763176	2	230021	1
1	523009	530148	10	235146	1
1	564442	564813	0	225972	1
1	565020	566063	0	225630	1
1	566454	567996	0	237973	1
1	568137	568818	0	229344	1
1	568915	569121	0	240409	1
1	569076	569756	0	248527	1
1	569756	570302	0	198744	1
1	610222	610645	7	268663	1
1	621059	622053	5	284662	1
1	657472	660283	7	229376	1
1	661265	714006	1	228327	1
1	677193	685396	10	235373	1
1	714150	745440	10	237491	1
1	736259	753092	1	230092	1
1	738532	739137	5	269831	1
1	752751	755217	10	177757	1
1	761586	762902	10	225880	1
1	803451	812283	10	230368	1
1	808672	809729	0	234711	1
1	809909	812614	1	283040	1
1	818043	819983	5	269308	1
1	840214	851356	10	272438	1
1	846815	850328	10	230699	1
1	849551	850351	10	241180	1
1	852245	856396	10	223764	1
1	859308	879961	5	187634	1
1	861264	866445	5	268179	1
1	879584	894689	5	188976	1
1	895967	901095	5	187961	1
1	901877	911245	5	187583	1
1	910584	917473	5	187642	1
1	931346	933431	10	272512	1
1	934342	935552	5	188290	1
1	936518	949921	5	187608	1
1	943456	943609	7	231702	1
1	955503	991498	5	188157	1
1	995114	1004735	1	217801	1
1	997588	998668	10	273443	1
1	1006346	1009687	5	237330	1
1	1017198	1051741	5	131591	1
1	1072397	1079436	10	223823	1
1	1102484	1102578	9	207730	1
1	1103243	1103332	9	207607	1
1	1104385	1104467	9	198976	1
1	1104737	1105723	10	272141	1
1	1109264	1133315	5	162571	1
1	1138888	1142071	5	186891	1
1	1146706	1149518	5	186827	1
1	1152288	1167411	5	78808	1
1	1167645	1170421	5	176022	1
1	1177826	1182102	5	184163	1
1	1185157	1186714	10	260179	1
1	1189289	1209265	5	160087	1
1	1210603	1215800	10	230415	1
1	1215816	1227409	5	162572	1
1	1227756	1244989	5	131584	1
1	1243947	1247057	5	169972	1
1	1246965	1260071	5	127054	1
1	1260136	1264277	5	224051	1
1	1266694	1270686	5	169962	1
1	1270656	1284730	5	107404	1
1	1288069	1297157	5	162576	1
1	1309110	1310875	5	175756	1
1	1314046	1314412	7	223663	1
1	1321091	1334708	5	221978	1
1	1337288	1342693	5	242485	1
1	1344476	1345998	10	272455	1
1	1353800	1357149	5	235098	1
1	1361508	1363167	5	205116	1
1	1365919	1369953	10	225285	1
1	1370241	1378262	5	179403	1
1	1385069	1405538	5	215915	1
1	1407149	1433228	5	160072	1
1	1447531	1470067	5	197785	1
1	1470554	1475833	5	205090	1
1	1477053	1510249	5	160075	1
1	1510355	1512455	10	215014	1
1	1518890	1519289	7	274481	1
1	1533392	1535476	5	228594	1
1	1550795	1565990	5	197530	1
1	1567474	1570639	5	189409	1
1	1570603	1590473	5	248333	1
1	1590990	1624167	5	189339	1
1	1603429	1605836	2	269737	1
1	1631381	1633221	0	215914	1
1	1634169	1655763	5	8128	1
1	1655951	1668690	2	227775	1
1	1656277	1677431	5	215790	1
1	1682671	1711896	5	8130	1
1	1716724	1822556	5	78369	1
1	1846266	1848735	5	169885	1
1	1849029	1850712	5	178821	1
1	1853390	1935276	5	142609	1
1	1950737	1962197	5	187730	1
1	1981909	2116834	5	67606	1
1	2115900	2144159	5	162585	1
1	2121237	2123179	5	269554	1
1	2143360	2145620	5	203301	1
1	2143962	2152177	10	234396	1
1	2160134	2241558	5	157933	1
1	2252692	2323146	5	116151	1;2
1	2258581	2259042	5	269753	1
1	2281853	2284259	2	269896	1
1	2323214	2336883	5	157916	2
1	2335403	2345236	5	157911	2
1	2357419	2436969	5	149527	2
1	2439972	2458067	5	157881	2
1	2460184	2461684	5	197921	2
1	2477904	2478899	10	272449	2
1	2487078	2496821	5	157873	2
1	2512999	2515972	10	228037	2
1	2517930	2522908	5	157870	2
1	2522078	2564429	5	142606	2
1	2567415	2718282	5	215912	2
1	2728415	2729257	10	233234	2
1	2730997	2731563	10	231630	2
1	2877223	2885272	10	284745	2
1	2938047	2939467	5	169717	2
1	2985732	3355185	5	142611	2
1	3223200	3226660	10	272235	2
1	3370990	3397677	5	130762	2
1	3403810	3404191	10	272088	2
1	3406484	3528059	5	162591	2
1	3477259	3477354	9	207776	2
1	3541566	3546691	5	158109	2
1	3547331	3569325	5	116213	2
1	3569084	3652765	5	78900	2
1	3652165	3663900	28	227372	2
1	3663024	3688209	5	162592	2
1	3689352	3692546	5	235169	2
1	3695122	3713068	5	130764	2
1	3728645	3773778	5	116198	2
1	3773831	3801993	5	169598	2
1	3800628	3800697	9	264428	2
1	3805689	3816857	5	198912	2
1	3816936	3833789	10	236423	2
1	4000625	4015322	10	233304	2
1	4004607	4009040	10	226374	2
1	4036193	4072759	10	284668	2
1	4072981	4079568	10	284703	2
1	4235588	4235959	7	229280	2
1	4472087	4484749	10	235054	2
1	4539191	4544435	10	284694	2
1	4611795	4612205	10	227169	2
1	4631541	4654069	10	232596	2
1	4714792	4852594	5	196581	2
1	5024014	5033358	10	284739	2
1	5033441	5041628	10	284674	2
1	5146519	5150959	10	231510	2
1	5361988	5367454	10	284616	2
1	5538796	5553117	10	284692	3
1	5540847	5542088	10	284666	3
1	5553038	5554734	10	260972	3
1	5614807	5614941	0	283356	3
1	5621769	5728355	10	236948	3
1	5624131	5624203	9	264341	3
1	5875931	5876019	9	216045	3
1	5922732	5922801	9	264101	3
1	5922871	6052533	5	131697	3
1	5953899	5953984	9	266687	3
1	6051526	6161253	5	69424	3
1	6100630	6101399	5	268332	3
1	6161853	6240183	5	116254	3
1	6241329	6269449	5	116251	3
1	6265535	6281359	5	158286	3
1	6281253	6296032	5	116237	3
1	6296300	6299504	10	225077	3
1	6304252	6305638	5	173673	3
1	6307406	6321035	5	158292	3
1	6324329	6454451	5	97021	3
1	6472478	6484730	5	69812	3
1	6484848	6521430	5	187017	3
1	6489894	6489956	9	265392	3
1	6521211	6526255	5	215788	3
1	6526152	6580121	5	171680	3
1	6581407	6614595	5	162408	3
1	6607965	6608679	7	229519	3
1	6615241	6639817	5	173662	3
1	6640061	6649340	5	204859	3
1	6650784	6674667	5	162413	3
1	6673745	6684093	5	116273	3
1	6684926	6695646	5	41988	3
1	6694228	6761984	5	7923	3
1	6784697	6790072	10	228750	3
1	6828014	6830098	10	284744	3
1	6845384	7829766	5	171735	3;4
1	6894393	6894678	7	227950	3
1	7753184	7754904	10	270171	4
1	7758363	7758932	10	270035	4
1	7760764	7761030	10	269978	4
1	7831329	7841492	5	49245	4
1	7844380	7905237	5	49246	4
1	7903143	7913572	5	49247	4
1	7975954	8003225	5	49249	4
1	8002432	8002786	7	270330	4
1	8014351	8045565	5	116288	4
1	8058247	8059994	10	284716	4
1	8064464	8086368	5	116285	4
1	8086798	8182762	10	238290	4
1	8117305	8118523	7	232848	4
1	8249884	8252830	7	229305	4
1	8262489	8275270	10	227634	4
1	8278250	8280589	10	233645	4
1	8377886	8404227	5	162426	4
1	8412457	8877702	5	142599	4
1	8572712	8573080	7	270282	4
1	8810489	8811146	7	234619	4
1	8846270	8846972	7	224315	4
1	8858534	8859565	0	226545	4
1	8865919	8867110	10	228423	4
1	8891066	8891434	7	229716	4
1	8921061	8939308	5	74800	4
1	8953468	8954210	7	238249	4
1	8967452	8967803	7	232208	4
1	8969801	8969963	7	232663	4
1	9005926	9035151	5	131686	4
1	9063359	9086404	5	197241	4
1	9095166	9148537	5	142583	4
1	9160364	9189229	5	180758	4
1	9208070	9257042	10	228526	5
1	9211727	9211836	9	207865	5
1	9242063	9256343	10	234546	5
1	9257202	9258965	10	281937	5
1	9294834	9331396	5	49239	5
1	9338450	9338592	9	252841	5
1	9352939	9429591	5	171621	5
1	9481157	9482921	10	284652	5
1	9485153	9500623	10	284693	5
1	9561151	9563530	10	235263	5
1	9599541	9645237	5	171612	5
1	9636485	9637043	7	231181	5
1	9648980	9674931	5	188807	5
1	9711790	9789172	5	171608	5
1	9720886	9722684	7	233268	5
1	9789084	9884584	5	171603	5
1	9840880	9841298	7	271264	5
1	9908334	9970394	5	178585	5
1	9982171	10003465	5	162441	5
1	10003486	10045559	5	173614	5
1	10027439	10027516	9	265521	5
1	10057264	10076078	5	162444	5
1	10092890	10241297	5	130939	5
1	10114503	10114839	7	224340	5
1	10118729	10119706	7	233623	5
1	10270863	10441661	5	54523	5
1	10287776	10287861	9	264881	5
1	10441964	10447207	10	284735	5
1	10455473	10457489	10	284642	5
1	10458649	10480201	5	142657	5
1	10490159	10512210	5	251503	5
1	10490500	10502866	5	175279	5
1	10509776	10511959	5	241563	5
1	10516579	10532583	5	160049	5
1	10532345	10690815	5	142655	5
1	10696661	10856707	5	130940	5
1	10955818	10956055	7	225158	5
1	11006528	11042094	5	175262	5
1	11051035	11051854	7	215785	5
1	11058233	11058320	9	264181	5
1	11072401	11086477	5	120948	5
1	11072719	11090585	5	277726	5
1	11086580	11107290	5	9724	5
1	11114641	11120081	5	116649	5
1	11126675	11159938	5	171824	5
1	11166592	11322564	5	198793	5
1	11249398	11256038	5	171819	5
1	11293020	11293169	7	238173	5
1	11333263	11356106	5	120942	5
1	11338673	11339408	7	238199	5
1	11371791	11379150	10	284646	5
1	11485314	11485878	7	224338	5
1	11539223	11597641	5	204624	5
1	11669588	11673412	10	235643	5
1	11697075	11715842	5	116661	5
1	11714432	11723384	5	132879	5
1	11724181	11734411	5	116663	5
1	11734537	11751707	5	116670	5
1	11751786	11785914	5	162490	5
1	11796141	11814859	5	177674	5
1	11821844	11849642	5	215910	5
1	11845780	11866977	5	177000	5
1	11866153	11903201	5	11021	5
1	11905766	11908402	5	175206	5
1	11917521	11918988	5	120937	5
1	11937827	11940463	7	224904	5
1	11979648	11986485	5	116685	5
1	11994262	12035595	5	83444	5
1	12040238	12073571	5	116688	5
1	12077273	12077365	7	270914	5
1	12079523	12092102	5	116691	5
1	12123434	12204264	5	120949	5
1	12140350	12140604	7	227875	5
1	12227060	12269285	5	28137	5
1	12251770	12251830	9	263676	5
1	12280851	12281166	7	225196	5
1	12290124	12572099	5	48707	5
1	12587766	12588462	10	229484	5
1	12627939	12677737	5	162496	5
1	12678906	12679250	10	272482	5
1	12704566	12727097	5	204518	6
1	12752925	12753036	7	226166	6
1	12776118	12788726	5	188984	6
1	12806163	12823847	5	157330	6
1	12834984	12838049	5	116726	6
1	12851546	12856777	5	116721	6
1	12882549	12883022	10	228338	6
1	12884468	12891264	5	204513	6
1	12897978	12901210	0	231103	6
1	12907261	12908578	5	179172	6
1	12916941	12921764	5	120952	6
1	12939045	12946025	5	243073	6
1	12952727	12958101	5	187545	6
1	12976430	12980302	5	204510	6
1	12985990	12988081	0	234064	6
1	12998302	13007406	5	232423	6
1	13035543	13038381	5	204508	6
1	13052394	13052998	5	239810	6
1	13146777	13147256	10	233336	6
1	13162650	13165443	0	277862	6
1	13171871	13173157	0	236179	6
1	13182968	13184326	5	275774	6
1	13182991	13183872	5	179412	6
1	13216356	13219581	5	229571	6
1	13328196	13331692	5	204503	6
1	13359819	13369057	5	204502	6
1	13379149	13381237	0	231219	6
1	13386646	13390765	5	182330	6
1	13421176	13428191	5	204501	6
1	13429634	13430113	10	228229	6
1	13447556	13452656	5	279169	6
1	13448050	13450861	0	274178	6
1	13474689	13477522	5	204491	6
1	13495254	13498260	5	204488	6
1	13516066	13526943	5	204486	6
1	13641973	13648988	5	157358	6
1	13668411	13673511	5	204481	6
1	13695525	13698151	5	204480	6
1	13716092	13719089	5	204479	6
1	13736907	13747803	5	204478	6
1	13801445	13840543	5	162494	6
1	13881496	13882189	7	215909	6
1	13909960	13944452	5	162493	6
1	13950397	13950497	9	266358	6
1	13983806	13986405	10	237445	6
1	14026693	14151574	5	116731	6
1	14219287	15444539	5	189337	6
1	14548386	14549613	10	231606	6
1	14675450	14718071	10	234593	6
1	15018625	15019109	7	235829	6
1	15479028	15546976	5	171729	6
1	15490840	15497813	10	204464	6
1	15518324	15519341	7	215720	6
1	15552869	15554045	7	278480	6
1	15573768	15726779	5	142621	6
1	15729475	15735929	10	228140	6
1	15736391	15756839	5	142634	6
1	15764935	15775737	5	162438	6
1	15783223	15798586	5	142615	6
1	15792404	15817895	5	215704	6
1	15817327	15853029	5	132906	6
1	15853308	15918874	5	116138	6
1	15898848	15911605	5	116771	6
1	15931092	15931538	7	235084	6
1	15941138	15941362	7	236500	6
1	15943995	15995539	5	197312	6
1	15986364	15988217	5	215695	6
1	16009368	16009623	10	271742	6
1	16010827	16061264	5	116786	6
1	16010967	16011053	9	264048	6
1	16062900	16067891	5	162461	6
1	16068917	16074477	5	162460	6
1	16083102	16113089	5	162458	6
1	16119291	16119780	7	224321	6
1	16133664	16135843	5	233954	6
1	16154727	16155164	7	178715	6
1	16174359	16266955	5	65526	6;7
1	16244193	16244403	0	270620	7
1	16268364	16302627	5	116809	7
1	16296127	16296689	7	234607	7
1	16314677	16314936	0	231353	7
1	16315635	16315870	7	275503	7
1	16316366	16321246	0	224966	7
1	16330731	16335302	5	183888	7
1	16340523	16346089	5	173641	7
1	16345370	16360545	5	186510	7
1	16361673	16366524	0	232456	7
1	16370231	16383803	5	184908	7
1	16384264	16400127	5	185519	7
1	16450832	16482582	5	142627	7
1	16524349	16539104	5	142632	7
1	16542404	16554522	1	237276	7
1	16555368	16556038	5	204377	7
1	16558195	16563657	5	132881	7
1	16567708	16567893	7	233929	7
1	16573334	16678949	5	37637	7
1	16679070	16724640	5	55070	7
1	16695645	16696025	7	226457	7
1	16713612	16763919	5	187144	7
1	16767167	16786573	5	157191	7
1	16787443	16794976	10	226029	7
1	16793931	16825752	1	80947	7
1	16841140	16842249	10	261135	7
1	16847189	16848291	10	224174	7
1	16860381	16862667	10	233421	7
1	16865561	16866070	5	268674	7
1	16875146	16879026	0	225710	7
1	16875409	16875482	9	266584	7
1	16888814	16940057	5	219481	7
1	16943886	16944224	10	271732	7
1	16944748	16983727	1	215908	7
1	16969262	16969604	1	283773	7
1	16972117	16976784	0	186301	7
1	16983374	16994019	10	282143	7
1	16999498	17000007	5	237847	7
1	17007750	17007823	9	264742	7
1	17012116	17012550	7	236698	7
1	17013834	17046652	1	268869	7
1	17028041	17032089	10	279151	7
1	17060447	17060956	5	268991	7
1	17066433	17077084	10	282740	7
1	17066768	17299474	5	58453	7
1	17066775	17077463	1	227684	7
1	17081405	17096732	1	186715	7
1	17177752	17179624	10	223643	7
1	17181902	17185779	0	230239	7
1	17185444	17185516	9	263811	7
1	17197440	17200587	10	228549	7
1	17215033	17216144	10	238142	7
1	17215590	17216097	7	235241	7
1	17230834	17231271	10	272426	7
1	17300997	17307330	5	117122	7
1	17312453	17338423	5	159363	7
1	17345217	17380665	5	117118	7
1	17393256	17445930	5	117115	7
1	17516278	17524112	10	204362	7
1	17519727	17528228	10	282843	7
1	17531621	17572500	5	142623	7
1	17575593	17610728	5	142619	7
1	17604384	17604470	9	266634	7
1	17634690	17690499	5	159339	7
1	17655507	17676070	5	269468	7
1	17698691	17728195	5	276747	7
1	17733256	17766220	5	179051	7
1	17740127	17740190	9	266727	7
1	17866330	18024369	5	74964	7
1	18044182	18076473	10	236648	7
1	18081808	18153558	5	117148	7
1	18342206	18372106	10	284653	7
1	18392151	18400906	10	261781	7
1	18434240	18704977	5	117154	7
1	18712323	18715008	10	225387	7
1	18807476	18812620	5	179023	7
1	18839612	18839877	7	235282	7
1	18921908	18922130	7	225478	7
1	18957500	19075360	5	9709	7
1	19166093	19186176	5	179002	7
1	19175767	19247615	5	255275	7
1	19197924	19229275	5	159423	7
1	19209696	19209769	9	265606	7
1	19223565	19223642	9	221662	7
1	19230775	19283180	5	169991	7
1	19401000	19536770	5	127481	7
1	19410046	19410145	9	266098	7
1	19542158	19578046	5	127463	7
1	19578033	19586622	5	53372	7
