cytobandIndex	chromosomeIndex	startPos	endPos	cytobandSize	colourIndex	cytobandName	chromosomeArmIndex	firstTadIndex	lastTadIndex	gapSize	coefficientInit
0	0	0	1	1	0	.	0	0	0	0	0
1	1	0	2300000	2300000	7	1p36.33	1	1	5	0	1
2	1	2300000	5400000	3100000	4	1p36.32	1	5	7	0	1
3	1	5400000	7200000	1800000	7	1p36.31	1	7	8	0	1
4	1	7200000	9200000	2000000	4	1p36.23	1	8	11	0	1
5	1	9200000	12700000	3500000	7	1p36.22	1	11	15	0	1
6	1	12700000	16200000	3500000	1	1p36.21	1	15	20	0	1
7	1	16200000	20400000	4200000	7	1p36.13	1	20	24	0	1
8	1	20400000	23900000	3500000	4	1p36.12	1	24	30	0	1
9	1	23900000	28000000	4100000	7	1p36.11	1	30	37	0	1
10	1	28000000	30200000	2200000	4	1p35.3	1	37	39	0	1
11	1	30200000	32400000	2200000	7	1p35.2	1	39	40	0	1
12	1	32400000	34600000	2200000	4	1p35.1	1	40	42	0	1
13	1	34600000	40100000	5500000	7	1p34.3	1	42	48	0	1
14	1	40100000	44100000	4000000	4	1p34.2	1	48	56	0	1
15	1	44100000	46800000	2700000	7	1p34.1	1	56	60	0	1
16	1	46800000	50700000	3900000	2	1p33	1	60	64	0	1
17	1	50700000	56100000	5400000	7	1p32.3	1	64	71	0	1
18	1	56100000	59000000	2900000	1	1p32.2	1	71	72	0	1
19	1	59000000	61300000	2300000	7	1p32.1	1	72	75	0	1
20	1	61300000	68900000	7600000	1	1p31.3	1	74	85	0	1
21	1	68900000	69700000	800000	7	1p31.2	1	85	85	0	1
22	1	69700000	84900000	15200000	0	1p31.1	1	85	104	0	1
23	1	84900000	88400000	3500000	7	1p22.3	1	104	108	0	1
24	1	88400000	92000000	3600000	2	1p22.2	1	108	112	0	1
25	1	92000000	94700000	2700000	7	1p22.1	1	112	115	0	1
26	1	94700000	99700000	5000000	2	1p21.3	1	115	120	0	1
27	1	99700000	102200000	2500000	7	1p21.2	1	120	124	0	1
28	1	102200000	107200000	5000000	0	1p21.1	1	124	131	0	1
29	1	107200000	111800000	4600000	7	1p13.3	1	131	135	0	1
30	1	111800000	116100000	4300000	1	1p13.2	1	135	141	0	1
31	1	116100000	117800000	1700000	7	1p13.1	1	141	144	0	1
32	1	117800000	120600000	2800000	1	1p12	1	144	146	0	1
33	1	120600000	121500000	900000	7	1p11.2	1	146	148	0	1
34	1	121500000	125000000	3500000	5	1p11.1	1	147	148	0	1
35	1	125000000	128900000	3900000	5	1q11	2	149	149	0	1
36	1	128900000	142600000	13700000	3	1q12	2	149	150	0	1
37	1	142600000	147000000	4400000	7	1q21.1	2	150	155	0	1
38	1	147000000	150300000	3300000	1	1q21.2	2	155	161	0	1
39	1	150300000	155000000	4700000	7	1q21.3	2	161	166	0	1
40	1	155000000	156500000	1500000	1	1q22	2	166	168	0	1
41	1	156500000	159100000	2600000	7	1q23.1	2	168	172	0	1
42	1	159100000	160500000	1400000	1	1q23.2	2	171	174	0	1
43	1	160500000	165500000	5000000	7	1q23.3	2	174	178	0	1
44	1	165500000	167200000	1700000	1	1q24.1	2	178	181	0	1
45	1	167200000	170900000	3700000	7	1q24.2	2	181	185	0	1
46	1	170900000	172900000	2000000	2	1q24.3	2	184	188	0	1
47	1	172900000	176000000	3100000	7	1q25.1	2	188	192	0	1
48	1	176000000	180300000	4300000	1	1q25.2	2	192	195	0	1
49	1	180300000	185800000	5500000	7	1q25.3	2	195	205	0	1
50	1	185800000	190800000	5000000	0	1q31.1	2	205	210	0	1
51	1	190800000	193800000	3000000	7	1q31.2	2	210	212	0	1
52	1	193800000	198700000	4900000	0	1q31.3	2	212	219	0	1
53	1	198700000	207200000	8500000	7	1q32.1	2	219	233	0	1
54	1	207200000	211500000	4300000	4	1q32.2	2	232	238	0	1
55	1	211500000	214500000	3000000	7	1q32.3	2	238	240	0	1
56	1	214500000	224100000	9600000	0	1q41	2	240	249	0	1
57	1	224100000	224600000	500000	7	1q42.11	2	249	249	0	1
58	1	224600000	227000000	2400000	4	1q42.12	2	249	251	0	1
59	1	227000000	230700000	3700000	7	1q42.13	2	251	258	0	1
60	1	230700000	234700000	4000000	1	1q42.2	2	257	263	0	1
61	1	234700000	236600000	1900000	7	1q42.3	2	263	266	0	1
62	1	236600000	243700000	7100000	2	1q43	2	266	273	0	1
63	1	243700000	249250621	5550621	7	1q44	2	273	278	10000000	1
64	2	0	4400000	4400000	7	2p25.3	3	279	283	0	1
65	2	4400000	7100000	2700000	1	2p25.2	3	283	286	0	1
66	2	7100000	12200000	5100000	7	2p25.1	3	286	292	0	1
