#chromosomeIndex	startPos	endPos	geneTypeIndex	geneId	cytobandIndices	tadIndices	geneName	cancerGene
1	11869	14409	1	223972	1	1;2	DDX11L1	False
1	14404	29570	0	227232	1	1;2	WASH7P	False
1	29554	31109	10	243485	1	1;2	MIR1302-2HG	False
1	34554	36081	10	237613	1	1;2	FAM138A	False
1	52473	53312	0	268020	1	2	AL627309.6	False
1	57598	64116	1	240361	1	2	OR4G11P	False
1	65419	71585	5	186092	1	2	OR4F5	False
1	89295	133723	10	238009	1	2	AL627309.1	False
1	89551	91105	10	239945	1	2	AL627309.3	False
1	131025	134836	7	233750	1	2	CICP27	False
1	134901	139379	5	237683	1	2	AL627309.1	False
1	135141	135895	7	268903	1	2	AL627309.7	False
1	137682	137965	7	269981	1	2	AL627309.8	False
1	160446	161525	10	241599	1	2	AL627309.4	False
1	227615	267253	10	228463	1	2	AP006222.2	False
1	367640	368634	5	235249	1	2	OR4F29	False
1	453633	460480	10	236601	1	2	RP4-669L17.2	False
1	459656	461954	10	236743	1	2	RP5-857K21.15	False
1	521451	763176	2	230021	1	2;3	AL669831.3	False
1	523009	530148	10	235146	1	2	AC114498.1	False
1	564442	564813	0	225972	1	2	MTND1P23	False
1	565020	566063	0	225630	1	2	MTND2P28	False
1	566454	567996	0	237973	1	2	MTCO1P12	False
1	568137	568818	0	229344	1	2	MTCO2P12	False
1	568915	569121	0	240409	1	2	MTATP8P1	False
1	569076	569756	0	248527	1	2	MTATP6P1	False
1	569756	570302	0	198744	1	2	MTCO3P12	False
1	610222	610645	7	268663	1	2	WBP1LP6	False
1	621059	622053	5	284662	1	2	OR4F16	False
1	657472	660283	7	229376	1	2;3	CICP3	False
1	661265	714006	1	228327	1	2;3	AL669831.1	False
1	677193	685396	10	235373	1	2;3	RP11-206L10.3	False
1	714150	745440	10	237491	1	2;3	AL669831.5	False
1	736259	753092	1	230092	1	3	AL669831.4	False
1	738532	739137	5	269831	1	3	AL669831.1	False
1	752751	755217	10	177757	1	3	FAM87B	False
1	761586	762902	10	225880	1	3	LINC00115	False
1	803451	812283	10	230368	1	3	FAM41C	False
1	808672	809729	0	234711	1	3	TUBB8P11	False
1	809909	812614	1	283040	1	3	AL669831.6	False
1	818043	819983	5	269308	1	3	AL645608.2	False
1	840214	851356	10	272438	1	3	AL645608.7	False
1	846815	850328	10	230699	1	3	AL645608.3	False
1	849551	850351	10	241180	1	3	AL645608.5	False
1	852245	856396	10	223764	1	3	AL645608.1	False
1	859308	879961	5	187634	1	3	SAMD11	False
1	861264	866445	5	268179	1	3	AL645608.1	False
1	879584	894689	5	188976	1	3	NOC2L	True
1	895967	901095	5	187961	1	3	KLHL17	False
1	901877	911245	5	187583	1	3	PLEKHN1	False
1	910584	917473	5	187642	1	3	PERM1	True
1	931346	933431	10	272512	1	3	AL645608.8	False
1	934342	935552	5	188290	1	3	HES4	False
1	936518	949921	5	187608	1	3	ISG15	False
1	943456	943609	7	231702	1	3	AL645608.4	False
1	955503	991498	5	188157	1	3	AGRN	False
1	995114	1004735	1	217801	1	3	AL390719.1	False
1	997588	998668	10	273443	1	3	AL645608.9	False
1	1006346	1009687	5	237330	1	3	RNF223	False
1	1017198	1051741	5	131591	1	3	C1orf159	False
1	1072397	1079436	10	223823	1	3	LINC01342	False
1	1102484	1102578	9	207730	1	3	MIR200B	True
1	1103243	1103332	9	207607	1	3	MIR200A	True
1	1104385	1104467	9	198976	1	3	MIR429	False
1	1104737	1105723	10	272141	1	3	AL390719.2	False
1	1109264	1133315	5	162571	1	3	TTLL10	False
1	1138888	1142071	5	186891	1	3	TNFRSF18	False
1	1146706	1149518	5	186827	1	3	TNFRSF4	False
1	1152288	1167411	5	78808	1	3	SDF4	False
1	1167645	1170421	5	176022	1	3	B3GALT6	False
1	1177826	1182102	5	184163	1	3	C1QTNF12	False
1	1185157	1186714	10	260179	1	3;4	AL162741.1	False
1	1189289	1209265	5	160087	1	3;4	UBE2J2	False
1	1210603	1215800	10	230415	1	3;4	LINC01786	False
1	1215816	1227409	5	162572	1	3;4	SCNN1D	False
1	1227756	1244989	5	131584	1	4	ACAP3	False
1	1243947	1247057	5	169972	1	4	PUSL1	False
1	1246965	1260071	5	127054	1	4	INTS11	False
1	1260136	1264277	5	224051	1	4	CPTP	False
1	1266694	1270686	5	169962	1	4	TAS1R3	False
1	1270656	1284730	5	107404	1	4	DVL1	True
1	1288069	1297157	5	162576	1	4	MXRA8	False
1	1309110	1310875	5	175756	1	4	AURKAIP1	False
1	1314046	1314412	7	223663	1	4	NDUFB4P8	False
1	1321091	1334708	5	221978	1	4	CCNL2	False
1	1337288	1342693	5	242485	1	4	MRPL20	False
1	1344476	1345998	10	272455	1	4	AL391244.3	False
1	1353800	1357149	5	235098	1	4	ANKRD65	False
1	1361508	1363167	5	205116	1	4	TMEM88B	False
1	1365919	1369953	10	225285	1	4	LINC01770	False
1	1370241	1378262	5	179403	1	4	VWA1	False
1	1385069	1405538	5	215915	1	4	ATAD3C	False
1	1407149	1433228	5	160072	1	4	ATAD3B	True
1	1447531	1470067	5	197785	1	4	ATAD3A	False
1	1470554	1475833	5	205090	1	4	TMEM240	False
1	1477053	1510249	5	160075	1	4	SSU72	False
1	1510355	1512455	10	215014	1	4	AL645728.1	False
1	1518890	1519289	7	274481	1	4	AL691432.3	False
1	1533392	1535476	5	228594	1	4	FNDC10	False
1	1550795	1565990	5	197530	1	4	MIB2	False
1	1567474	1570639	5	189409	1	4	MMP23B	False
1	1570603	1590473	5	248333	1	4	CDK11B	True
1	1590990	1624167	5	189339	1	4	SLC35E2B	False
1	1603429	1605836	2	269737	1	4	AL691432.1	False
1	1631381	1633221	0	215914	1	4	MMP23A	False
1	1634169	1655763	5	8128	1	4;5	CDK11A	False
1	1655951	1668690	2	227775	1	4;5	AL031282.1	False
1	1656277	1677431	5	215790	1	4;5	SLC35E2	False
1	1682671	1711896	5	8130	1	5	NADK	False
1	1716724	1822556	5	78369	1	5	GNB1	True
1	1846266	1848735	5	169885	1	5	CALML6	True
1	1849029	1850712	5	178821	1	5	TMEM52	True
1	1853390	1935276	5	142609	1	5	CFAP74	True
1	1950737	1962197	5	187730	1	5	GABRD	False
1	1981909	2116834	5	67606	1	5	PRKCZ	True
1	2115900	2144159	5	162585	1	5	FAAP20	False
1	2121237	2123179	5	269554	1	5	AL590822.2	False
1	2143360	2145620	5	203301	1	5	AL590822.1	False
1	2143962	2152177	10	234396	1	5	AL590822.1	False
1	2160134	2241558	5	157933	1	5	SKI	True
1	2252692	2323146	5	116151	1;2	5	MORN1	False
1	2258581	2259042	5	269753	1	5	AL589739.1	False
1	2281853	2284259	2	269896	1	5	AL513477.1	False
1	2323214	2336883	5	157916	2	5	RER1	False
1	2335403	2345236	5	157911	2	5	PEX10	False
1	2357419	2436969	5	149527	2	5	PLCH2	True
1	2439972	2458067	5	157881	2	5	PANK4	False
1	2460184	2461684	5	197921	2	5;6	HES5	True
1	2477904	2478899	10	272449	2	5;6	AL139246.5	False
1	2487078	2496821	5	157873	2	5;6	TNFRSF14	True
1	2512999	2515972	10	228037	2	5;6	AL139246.3	False
1	2517930	2522908	5	157870	2	5;6	FAM213B	False
1	2522078	2564429	5	142606	2	5;6	MMEL1	True
1	2567415	2718282	5	215912	2	5;6	TTC34	False
1	2728415	2729257	10	233234	2	6	AL592464.2	False
1	2730997	2731563	10	231630	2	6	AL592464.1	False
1	2877223	2885272	10	284745	2	6	AL589702.1	False
1	2938047	2939467	5	169717	2	6	ACTRT2	False
1	2985732	3355185	5	142611	2	6	PRDM16	True
1	3223200	3226660	10	272235	2	6	AL590438.1	False
1	3370990	3397677	5	130762	2	6	ARHGEF16	False
1	3403810	3404191	10	272088	2	6	AL512413.1	False
1	3406484	3528059	5	162591	2	6	MEGF6	False
1	3477259	3477354	9	207776	2	6	MIR551A	False
1	3541566	3546691	5	158109	2	6	TPRG1L	False
