#chromosomeIndex	startPos	endPos	tadIndex	cytobandIndices
1	1	50000	1	1
1	10000	720000	2	1
1	640000	1225000	3	1
1	1185000	1680000	4	1
1	1635000	2640000	5	1;2
1	2460000	3680000	6	2
1	3560000	6120000	7	2;3
1	6040000	7760000	8	3;4
1	7680000	8440000	9	4
1	8400000	8990000	10	4
1	8920000	9720000	11	4;5
1	9640000	10600000	12	5
1	10525000	11090000	13	5
1	11040000	12120000	14	5
1	12040000	12950000	15	5;6
1	12840000	13480000	16	6
1	13440000	13790000	17	6
1	13720000	14280000	18	6
1	14240000	15840000	19	6
1	15800000	16400000	20	6;7
1	16360000	17280000	21	7
1	17200000	19240000	22	7
1	19160000	20065000	23	7
1	20000000	21000000	24	7;8
1	20950000	21565000	25	8
1	21520000	22390000	26	8
1	22320000	23000000	27	8
1	22935000	23320000	28	8
1	23280000	23665000	29	8
1	23600000	24115000	30	8;9
1	24040000	25120000	31	9
1	24975000	25600000	32	9
1	25560000	26320000	33	9
1	26150000	26800000	34	9
1	26760000	27320000	35	9
1	27250000	27640000	36	9
1	27585000	29000000	37	9;10
1	28920000	29590000	38	10
1	29520000	31240000	39	10;11
1	31160000	33600000	40	11;12
1	33520000	34040000	41	12
1	33950000	35320000	42	12;13
1	35240000	36025000	43	13
1	35985000	36315000	44	13
1	36240000	36960000	45	13
1	36900000	37960000	46	13
1	37880000	39365000	47	13
1	39320000	40290000	48	13;14
1	40240000	41040000	49	14
1	40985000	41500000	50	14
1	41440000	41925000	51	14
1	41860000	42640000	52	14
1	42560000	43240000	53	14
1	43185000	43680000	54	14
1	43625000	44000000	55	14
1	43920000	44560000	56	14;15
1	44480000	45215000	57	15
1	45160000	46050000	58	15
1	46000000	46500000	59	15
1	46440000	46880000	60	15;16
1	46840000	47200000	61	16
1	47160000	47680000	62	16
1	47600000	48320000	63	16
1	48200000	50920000	64	16;17
1	50840000	51800000	65	17
1	51735000	52520000	66	17
1	52460000	52850000	67	17
1	52800000	53740000	68	17
1	53680000	54275000	69	17
1	54200000	55440000	70	17
1	55360000	57280000	71	17;18
1	57240000	59160000	72	18;19
1	59080000	60400000	73	19
1	60325000	61360000	74	19;20
1	61280000	62665000	75	19;20
1	62600000	64000000	76	20
1	63960000	64760000	77	20
1	64685000	65540000	78	20
1	65460000	66280000	79	20
1	66200000	66715000	80	20
1	66660000	67240000	81	20
1	67160000	68000000	82	20
1	67935000	68320000	83	20
1	68240000	68890000	84	20
1	68840000	71000000	85	20;21;22
1	70920000	71560000	86	22
1	71520000	72640000	87	22
1	72560000	73160000	88	22
1	73000000	73840000	89	22
1	73640000	74240000	90	22
1	74160000	75215000	91	22
1	75160000	76320000	92	22
1	76240000	77600000	93	22
1	77560000	78160000	94	22
1	78040000	78600000	95	22
1	78560000	79200000	96	22
1	79120000	79800000	97	22
1	79680000	80680000	98	22
1	80600000	81815000	99	22
1	81640000	82360000	100	22
1	82240000	83160000	101	22
1	82840000	83640000	102	22
1	83560000	84360000	103	22
1	84320000	85760000	104	22;23
1	85685000	86840000	105	23
1	86760000	87240000	106	23
1	87185000	87575000	107	23
1	87520000	89400000	108	23;24
1	89360000	89965000	109	24
1	89910000	90520000	110	24
1	90460000	91960000	111	24
1	91880000	92450000	112	24;25
1	92400000	93300000	113	25
1	93240000	94415000	114	25
1	94360000	94960000	115	25;26
1	94910000	95320000	116	26
1	95260000	95720000	117	26
1	95640000	97400000	118	26
1	97320000	99080000	119	26
1	99000000	100240000	120	26;27
1	100200000	101000000	121	27
1	100920000	101400000	122	27
1	101350000	101880000	123	27
1	101800000	103040000	124	27;28
1	103000000	103440000	125	28
1	103360000	103800000	126	28
1	103760000	104240000	127	28
1	104160000	105175000	128	28
1	105120000	106400000	129	28
1	106320000	107000000	130	28
1	106720000	107840000	131	28;29
1	107760000	108320000	132	29
1	108260000	110600000	133	29
1	110535000	111090000	134	29
1	111040000	112000000	135	29;30
1	111960000	112440000	136	30
1	112325000	113280000	137	30
1	113200000	113665000	138	30
1	113600000	114320000	139	30
1	114240000	115400000	140	30
1	115320000	116640000	141	30;31
1	116585000	117140000	142	31
1	117080000	117640000	143	31
1	117560000	118525000	144	31;32
1	118480000	120115000	145	32
1	120035000	120740000	146	32;33
1	120680000	121520000	147	33;34
1	121480000	125000000	148	33;34
1	125000000	142600000	149	35;36
1	142520000	143640000	150	36;37
1	143560000	144520000	151	37
1	144480000	145360000	152	37
1	145280000	145880000	153	37
1	145800000	146360000	154	37
1	146280000	147425000	155	37;38
1	147385000	147890000	156	38
1	147840000	148520000	157	38
1	148440000	149025000	158	38
1	148840000	149790000	159	38
1	149720000	150200000	160	38
1	150160000	151240000	161	38;39
1	151160000	152040000	162	39
1	152000000	152480000	163	39
1	152410000	153520000	164	39
1	153440000	153975000	165	39
1	153920000	155200000	166	39;40
1	155160000	156040000	167	40
1	155840000	156680000	168	40;41
1	156600000	157475000	169	41
1	157435000	158125000	170	41
1	158080000	159120000	171	41;42
1	159040000	160040000	172	41;42
1	160000000	160400000	173	42
1	160320000	161440000	174	42;43
1	161385000	162800000	175	43
1	162760000	163325000	176	43
1	163280000	165160000	177	43
1	165080000	165640000	178	43;44
1	165575000	165940000	179	44
1	165880000	166840000	180	44
1	166800000	167600000	181	44;45
1	167520000	168120000	182	45
