#chromosomeIndex	startPos	endPos	geneTypeIndex	geneId
1	11869	14409	1	223972
1	14404	29570	0	227232
1	29554	31109	10	243485
1	34554	36081	10	237613
1	52473	53312	0	268020
1	57598	64116	1	240361
1	65419	71585	5	186092
1	89295	133723	10	238009
1	89551	91105	10	239945
1	131025	134836	7	233750
1	134901	139379	5	237683
1	135141	135895	7	268903
1	137682	137965	7	269981
1	160446	161525	10	241599
1	227615	267253	10	228463
1	367640	368634	5	235249
1	453633	460480	10	236601
1	459656	461954	10	236743
1	521451	763176	2	230021
1	523009	530148	10	235146
1	564442	564813	0	225972
1	565020	566063	0	225630
1	566454	567996	0	237973
1	568137	568818	0	229344
1	568915	569121	0	240409
1	569076	569756	0	248527
1	569756	570302	0	198744
1	610222	610645	7	268663
1	621059	622053	5	284662
1	657472	660283	7	229376
1	661265	714006	1	228327
1	677193	685396	10	235373
1	714150	745440	10	237491
1	736259	753092	1	230092
1	738532	739137	5	269831
1	752751	755217	10	177757
1	761586	762902	10	225880
1	803451	812283	10	230368
1	808672	809729	0	234711
1	809909	812614	1	283040
1	818043	819983	5	269308
1	840214	851356	10	272438
1	846815	850328	10	230699
1	849551	850351	10	241180
1	852245	856396	10	223764
1	859308	879961	5	187634
1	861264	866445	5	268179
1	879584	894689	5	188976
1	895967	901095	5	187961
1	901877	911245	5	187583
1	910584	917473	5	187642
1	931346	933431	10	272512
1	934342	935552	5	188290
1	936518	949921	5	187608
1	943456	943609	7	231702
1	955503	991498	5	188157
1	995114	1004735	1	217801
1	997588	998668	10	273443
1	1006346	1009687	5	237330
1	1017198	1051741	5	131591
1	1072397	1079436	10	223823
1	1102484	1102578	9	207730
1	1103243	1103332	9	207607
1	1104385	1104467	9	198976
1	1104737	1105723	10	272141
1	1109264	1133315	5	162571
1	1138888	1142071	5	186891
1	1146706	1149518	5	186827
1	1152288	1167411	5	78808
1	1167645	1170421	5	176022
1	1177826	1182102	5	184163
1	1185157	1186714	10	260179
1	1189289	1209265	5	160087
1	1210603	1215800	10	230415
1	1215816	1227409	5	162572
1	1227756	1244989	5	131584
1	1243947	1247057	5	169972
1	1246965	1260071	5	127054
1	1260136	1264277	5	224051
1	1266694	1270686	5	169962
1	1270656	1284730	5	107404
1	1288069	1297157	5	162576
1	1309110	1310875	5	175756
1	1314046	1314412	7	223663
1	1321091	1334708	5	221978
1	1337288	1342693	5	242485
1	1344476	1345998	10	272455
1	1353800	1357149	5	235098
1	1361508	1363167	5	205116
1	1365919	1369953	10	225285
1	1370241	1378262	5	179403
1	1385069	1405538	5	215915
1	1407149	1433228	5	160072
1	1447531	1470067	5	197785
1	1470554	1475833	5	205090
1	1477053	1510249	5	160075
1	1510355	1512455	10	215014
1	1518890	1519289	7	274481
1	1533392	1535476	5	228594
1	1550795	1565990	5	197530
1	1567474	1570639	5	189409
1	1570603	1590473	5	248333
1	1590990	1624167	5	189339
