geneId	chromosomeIndex	startPos	endPos	geneTypeIndex	cytobandIndices	tadIndices	geneName	cancerGene	rppaIds	batch	reactomePathwayIds	orientation
3	23	99882106	99894988	5	839	3413;3414	TSPAN6	0	.	0	.	-1
5	23	99839799	99854882	5	839	3413	TNMD	0	.	0	.	1
419	20	49551404	49575092	5	777	3135	DPM1	0	.	0	162699;4717374	-1
457	1	169818772	169863408	5	45	183;184	SCYL3	0	.	0	.	-1
460	1	169631245	169823221	5	45	183;184	C1orf112	0	.	0	.	1
938	1	27938575	27961788	5	9	37	FGR	0	.	0	432142;2029481;6798695	-1
971	1	196621008	196716634	5	52	216;217	CFH	0	.	0	977606	1
1036	6	143815948	143832827	5	321	1367	FUCA2	0	.	0	381426;6798695;8957275	-1
1084	6	53362139	53481768	5	297	1276	GCLC	0	.	0	174403;5578999	-1
1167	6	41040684	41067715	5	294	1257	NFYA	0	.	0	380994;381183;1989781;2426168	1
1460	1	24683489	24743424	5	9	31	STPG1	0	.	0	.	-1
1461	1	24742284	24799466	5	9	31	NIPAL3	0	.	0	5223345	1
1497	23	64732462	64754655	5	830	3373;3374	LAS1L	1	.	0	6791226	-1
1561	6	46097730	46114436	5	294	1266	ENPP4	0	.	0	6798695	1
1617	3	50192478	50226508	5	141	615	SEMA3F	1	.	0	.	1
1626	7	117105838	117356025	5	359	1545	CFTR	0	.	0	382556;5627083;5678895;5689880;8856825;8856828	1
1629	7	91875548	92030698	5	353	1517	ANKIB1	0	.	0	.	1
1630	7	91741465	91772266	5	353	1517	CYP51A1	0	.	0	191273;211976;2426168	-1
1631	7	91828283	91875480	5	353	1517	KRIT1	1	.	0	.	-1
2016	12	1021243	1099219	5	533	2244	RAD52	1	.	0	3108214;5685938	-1
2079	7	98836452	98908753	28	355	1524	MYH16	0	.	0	.	1
2330	11	64037302	64052176	5	514	2154	BAD	1	76;77	0	111447;111453;193648;198323;5674400	-1
2549	4	17578815	17609595	5	192	808	LAP3	0	.	0	.	1
2586	23	2609220	2659350	5	812	3312;3313	CD99	0	.	0	198933;202733	1
2587	4	11394774	11431389	5	191	803	HS3ST1	0	.	0	2022928	-1
2726	7	150521715	150558592	5	369	1584	AOC1	0	.	0	211945;6798695	1
2745	7	120965421	120981158	5	360	1548	WNT16	1	.	0	373080;3238698	1
2746	7	43152198	43605600	5	339;340	1460;1461	HECW1	1	.	0	4641258	1
2822	7	1855429	2272878	5	328	1412	MAD1L1	1	.	0	68877;141444;2467813;2500257;5663220	-1
2834	17	37026112	37078023	5	707	2869	LASP1	1	.	0	.	1
2919	17	46180719	46200436	5	711	2876	SNX11	0	.	0	.	1
